K1 SFG Selbstfinanzierungsgrad;;;;;;;;;
Der Selbstfinanzierungsgrad gibt Antwort auf die Frage, wie weit die Investitionen aus
selbst erarbeiteten Mitteln bezahlt werden können. Ein Selbstfinanzierungsgrad von
unter 100 % führt zu einer Neuverschuldung, von über 100 % zu einer Entschuldung. Es handelt sich um
unbereinigte Zahlen.

BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
301;Aarberg;4090.0;243;1;17;;50.4;621.1;86.5;199.8;364.1;353.2;247.9;135.3;302.3;833.9
321;Aarwangen;4214.0;244;2;15;;112.1;136.9;126.6;192.8;802.2;43.1;53.9;55.6;44.1;44.2
561;Adelboden;3583.0;249;10;6;;435.5;72.6;46.2;77.7;118.5;153.8;102.4;178.8;113.0;192.2
401;Aefligen;1036.0;245;6;14;404;421.2;518.6;683.0;387.7;577.3;298.9;62.6;37.1;359.9;114.1
731;Aegerten;1750.0;242;16;14;371;0.00;36.9;65.5;100.9;157.3;157.7;104.9;297.2;177.7;96.9
562;Aeschi b.Sp.;2070.0;249;10;7;;139.9;773.2;129.0;98.9;259.4;185.2;93.2;488.1;187.4;205.0
601;Aeschlen;0.0;246;12;21;;-5350.6;-303.5;2456.3;0.00;6843.2;464.3;18.0;711.1;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;3881.6;471.1;271.7;272.9;508.1;110.8;-276.7;121.9;22.9;27.6
851;Albligen;0.0;246;21;20;;111.3;6386.6;204.9;21.1;45.6;24.0;-19.9;126.3;178.5;0.00
402;Alchenstorf;570.0;245;6;16;;218.3;242.7;150.6;163.7;496.3;227.5;45.6;289.3;111.9;47.1
630;Allmendingen;515.0;246;12;11;351;1539.0;96.4;1038.7;344.7;-1337.9;0.00;5221.0;338.3;855.3;46.0
921;Amsoldingen;797.0;247;24;16;;915.6;275.5;1333.7;107.9;3768.4;30.2;51.7;42.3;169.9;69.6
381;Arch;1542.0;243;5;18;;0.00;416.1;697.6;457.2;421.6;232.7;577.7;153.8;86.4;132.1
602;Arni;955.0;246;12;20;;-4487.8;599.0;163.4;351.9;142.0;147.4;190.5;124.8;114.5;59.4
971;Attiswil;1298.0;244;26;16;;123.1;133.3;84.5;137.3;133.5;35.7;118.7;192.1;110.3;19.6
322;Auswil;460.0;244;2;19;;375.4;240.2;26.1;29.3;5331.7;375.0;1093.6;145.6;58.1;-17.8
531;Ballmoos;0.0;246;9;21;;-281.8;-23.3;72.4;-73.2;1293.2;-175.4;-52.5;-420.7;0.00;0.00
532;Bangerten;158.0;243;9;21;;103.2;-1261.8;85.7;1448.1;507.4;-56.4;93.8;124.7;-69.8;-1.8
323;Bannwil;676.0;244;2;15;;394.9;591.8;1127.6;437.2;274.8;72.8;591.5;503.0;174.4;355.3
302;Bargen;1005.0;243;1;16;;344.4;259.0;139.1;28.4;156.8;1004.3;146.6;148.2;115.6;292.2
571;Beatenberg;1126.0;250;11;7;;1828.7;910.5;759.2;105.5;330.4;61.0;80.2;146.7;213.1;1256.7
732;Bellmund;1490.0;242;16;14;371;110.0;10.6;8.6;129.7;3603.5;465.4;350.5;329.2;177.0;33.5
861;Belp;10356.0;246;22;9;351;0.00;124.5;108.3;179.0;201.9;215.0;150.0;182.0;131.8;289.4
862;Belpberg;418.0;246;22;21;;16.4;12.8;-20.6;-168.4;271.2;-441.5;-3296.0;-336.2;-34.5;-12853.7
681;Belprahon;300.0;241;15;15;;58.6;106.5;0.00;0.00;-37.9;228.3;45.8;-92.1;58.9;336.1
972;Berken;47.0;244;26;22;;46.4;0.00;-162.1;7.1;-1207.6;-448.2;-162.3;-1734.1;-454.7;255.4
351;Bern;126664.0;246;3;1;351;0.00;105.1;-55.2;-42.2;89.9;158.3;122.2;251.3;494.9;-124.4
973;Bettenhausen;686.0;244;26;15;;4635.2;217.7;147.0;221.3;2894.5;-112.8;61.0;-8.6;-3384.6;151.2
371;Biel;51323.0;242;4;2;371;101.0;226.7;148.8;78.3;125.9;134.3;107.8;57.3;48.4;113.8
603;Biglen;1729.0;246;12;15;;0.00;36.4;94.4;1175.1;393.2;243.1;107.8;346.5;314.1;80.3
324;Bleienbach;654.0;244;2;19;;0.00;0.00;0.00;848.9;3829.3;60.1;48.3;4.8;1995.3;583.9
604;Bleiken b.O.;385.0;246;12;16;;353.2;96.2;209.0;98.8;184.3;252.9;224.7;54.9;314.8;163.1
922;Blumenstein;1182.0;247;24;17;;300.0;277.4;375.2;286.1;270.0;180.8;527.0;171.5;142.8;-439.2
352;Bolligen;6057.0;246;3;11;351;-283.6;264.0;42.0;234.6;79.6;101.4;61.8;52.0;358.8;125.3
974;Bollodingen;0.0;244;26;19;;111.9;342.3;937.8;390.8;1765.7;6.9;678.0;252.7;119.3;0.00
791;Boltigen;1366.0;248;19;21;;0.00;150.3;147.4;108.2;80.1;208.2;179.2;252.0;122.0;125.3
605;Bowil;1381.0;246;12;19;;103.1;149.0;252.2;50.0;5.4;93.6;61.6;324.0;34.1;181.1
353;Bremgarten b.B.;4210.0;246;3;11;351;0.00;269.1;160.5;60.2;141.4;135.9;202.5;176.0;241.4;75.8
606;Brenzikofen;524.0;246;12;15;;1895.0;414.7;1886.7;362.5;587.5;850.8;462.1;628.6;532.4;966.2
573;Brienz;3014.0;250;11;7;;232.1;608.2;191.6;157.8;-5.3;89.4;81.8;18.0;39.5;45.8
574;Brienzwiler;511.0;250;11;17;;246.9;374.7;224.4;232.9;1024.8;291.5;92.7;50.0;78.0;87.3
733;Brügg;4155.0;242;16;12;371;971.3;202.6;41.5;129.4;380.1;720.3;240.5;-4.1;-14.7;173.7
