K2 SFA Selbstfinanzierungsanteil;;;;;;;;;
Der Selbstfinanzierungsanteil gibt  Auskunft über die finanzielle Leistungsfähigkeit
einer Gemeinde. Je höher der Wert, um so grösser ist der Spielraum für den Schuldenabbau
oder die Finanzierung von Investitionen und deren Folgekosten.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
301;Aarberg;4090.0;243;1;17;;3.7;4.4;6.4;8.9;13.4;12.7;12.9;10.3;14.2;43.9
321;Aarwangen;4214.0;244;2;15;;17.1;10.1;5.5;8.8;36.4;6.1;6.1;5.6;5.0;4.9
561;Adelboden;3583.0;249;10;6;;12.6;13.8;11.1;9.6;9.7;13.5;17.9;19.3;17.5;14.8
401;Aefligen;1036.0;245;6;14;404;11.8;17.5;30.4;9.3;14.2;16.2;5.7;9.2;33.3;8.0
731;Aegerten;1750.0;242;16;14;371;5.7;4.2;9.9;8.0;14.0;16.9;9.6;18.0;13.6;7.0
562;Aeschi b.Sp.;2070.0;249;10;7;;14.2;9.4;11.2;5.4;18.2;14.8;15.1;20.4;14.5;19.7
601;Aeschlen;0.0;246;12;21;;23.3;35.1;19.4;20.7;5.6;28.0;2.9;24.7;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;9.9;13.7;13.4;11.2;56.2;14.8;-15.7;13.0;2.6;3.3
851;Albligen;0.0;246;21;20;;14.3;9.5;26.9;4.4;5.6;3.1;-1.5;15.4;24.5;0.00
402;Alchenstorf;570.0;245;6;16;;17.5;16.5;13.0;20.9;33.7;10.8;6.3;8.9;12.3;4.3
630;Allmendingen;515.0;246;12;11;351;24.3;5.4;11.5;11.2;21.6;24.0;32.8;17.4;11.9;15.6
921;Amsoldingen;797.0;247;24;16;;10.0;13.4;14.8;5.8;31.0;3.4;3.4;11.5;17.0;8.4
381;Arch;1542.0;243;5;18;;10.6;8.8;11.0;10.8;13.0;10.2;11.8;11.5;9.2;8.8
602;Arni;955.0;246;12;20;;11.8;17.8;10.6;10.1;8.6;14.5;15.8;18.7;13.5;11.0
971;Attiswil;1298.0;244;26;16;;10.1;11.4;11.0;9.1;18.5;9.1;12.4;18.3;17.0;7.3
322;Auswil;460.0;244;2;19;;13.7;11.3;3.7;5.4;54.8;18.4;19.0;5.6;11.0;-1.0
531;Ballmoos;0.0;246;9;21;;-48.2;-2.4;-6.4;-4.4;21.6;-4.0;-2.2;-70.9;0.00;0.00
532;Bangerten;158.0;243;9;21;;6.9;-49.5;3.4;10.6;23.6;0.8;11.0;7.8;-7.1;-0.8
323;Bannwil;676.0;244;2;15;;15.9;21.4;26.0;19.3;37.0;12.3;6.4;28.4;11.9;15.5
302;Bargen;1005.0;243;1;16;;2.5;27.1;9.2;4.6;10.4;17.8;16.5;19.1;22.6;15.5
571;Beatenberg;1126.0;250;11;7;;28.7;20.6;22.2;10.8;15.8;17.2;18.2;19.8;22.0;24.2
732;Bellmund;1490.0;242;16;14;371;4.7;1.0;1.1;13.5;27.0;20.4;22.0;28.1;29.0;2.7
861;Belp;10356.0;246;22;9;351;11.4;13.4;11.5;9.9;10.4;15.8;17.5;19.8;15.5;17.4
862;Belpberg;418.0;246;22;21;;9.1;17.7;12.0;16.1;19.2;20.5;15.3;29.4;-4.7;21.4
681;Belprahon;300.0;241;15;15;;27.8;15.5;13.4;12.7;-6.7;15.5;13.6;10.0;9.9;13.0
972;Berken;47.0;244;26;22;;45.1;0.4;20.6;8.8;64.0;40.4;20.0;75.1;40.2;-42.8
351;Bern;126664.0;246;3;1;351;15.4;4.9;5.9;3.2;4.7;9.3;6.7;9.7;13.4;9.1
973;Bettenhausen;686.0;244;26;15;;10.3;11.8;11.9;10.6;53.0;-7.2;1.8;-1.0;-7.2;11.3
371;Biel;51323.0;242;4;2;371;15.4;14.6;8.7;7.0;10.6;11.9;15.2;9.4;7.0;6.8
603;Biglen;1729.0;246;12;15;;17.0;7.3;13.0;10.9;14.1;14.6;10.4;18.2;12.0;6.7
324;Bleienbach;654.0;244;2;19;;11.0;22.3;6.3;9.6;57.5;5.7;8.7;1.4;-9.8;44.0
