K3 KDA Kapitaldienstanteil;;;;;;;;;
Der Kapitaldienstanteil gibt Antwort auf die Frage, wie stark der Finanzertrag durch den
Zinsendienst und die Abschreibungen belastet ist. Ein hoher Kapitaldienstanteil weist auf eine
hohe Verschuldung und / oder einen hohen Abschreibungsbedarf hin.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
301;Aarberg;4090.0;243;1;17;;7.1;6.4;3.3;5.2;4.7;4.2;3.6;3.4;2.9;1.1
321;Aarwangen;4214.0;244;2;15;;3.3;3.2;2.2;1.9;1.4;3.3;0.8;2.0;2.4;2.5
561;Adelboden;3583.0;249;10;6;;9.1;9.5;9.8;10.8;8.5;7.7;6.8;7.0;8.3;8.0
401;Aefligen;1036.0;245;6;14;404;13.4;12.9;8.3;7.4;6.1;6.0;5.7;7.6;5.9;7.4
731;Aegerten;1750.0;242;16;14;371;9.5;6.5;5.9;5.6;5.1;6.6;6.4;5.6;3.9;4.1
562;Aeschi b.Sp.;2070.0;249;10;7;;7.2;6.4;5.5;7.3;6.3;6.2;5.1;4.0;2.2;2.4
601;Aeschlen;0.0;246;12;21;;8.9;16.6;2.5;2.8;4.5;1.1;3.4;7.0;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;8.1;10.2;7.2;6.0;3.8;6.5;0.9;1.4;1.8;0.4
851;Albligen;0.0;246;21;20;;4.1;3.7;2.4;6.0;8.0;9.1;9.0;7.7;6.9;0.00
402;Alchenstorf;570.0;245;6;16;;4.9;4.3;4.0;2.8;26.2;2.9;2.1;2.0;3.8;3.6
630;Allmendingen;515.0;246;12;11;351;26.4;14.0;9.8;9.7;16.2;18.7;5.9;6.6;7.8;5.7
921;Amsoldingen;797.0;247;24;16;;7.7;11.1;7.7;7.8;5.9;5.1;4.2;5.7;4.4;5.2
381;Arch;1542.0;243;5;18;;11.1;9.0;7.5;6.3;5.9;7.0;4.3;5.2;5.7;5.3
602;Arni;955.0;246;12;20;;3.5;3.0;2.5;3.1;2.3;2.7;2.0;1.8;1.3;1.1
971;Attiswil;1298.0;244;26;16;;8.8;7.9;9.8;10.2;9.8;10.8;10.4;9.8;9.0;9.7
322;Auswil;460.0;244;2;19;;3.0;4.4;4.6;5.9;3.5;5.8;2.0;3.7;5.2;4.8
531;Ballmoos;0.0;246;9;21;;10.6;6.7;8.1;7.7;3.8;7.9;4.1;15.7;0.00;0.00
532;Bangerten;158.0;243;9;21;;-1.4;5.2;2.7;-0.2;-2.2;-1.8;-2.8;0.4;4.5;6.3
323;Bannwil;676.0;244;2;15;;17.4;17.4;9.7;10.9;7.7;5.9;6.3;5.3;8.8;7.2
302;Bargen;1005.0;243;1;16;;6.9;6.1;5.3;5.3;6.1;5.4;6.3;6.4;6.2;5.6
571;Beatenberg;1126.0;250;11;7;;29.9;11.9;12.8;15.6;11.4;13.4;15.3;13.3;12.2;10.5
732;Bellmund;1490.0;242;16;14;371;2.7;5.1;6.5;4.8;4.0;2.2;0.2;6.9;2.6;2.7
861;Belp;10356.0;246;22;9;351;3.0;2.8;2.4;1.7;1.8;1.3;1.3;1.9;1.9;1.2
862;Belpberg;418.0;246;22;21;;0.6;5.6;11.1;3.2;1.9;1.2;0.7;0.7;2.8;0.6
681;Belprahon;300.0;241;15;15;;25.4;15.0;17.2;17.2;33.9;11.1;6.0;8.2;7.6;12.4
972;Berken;47.0;244;26;22;;-8.6;-8.8;-6.0;8.7;-1.6;-6.7;-13.2;-5.0;-3.3;-8.9
351;Bern;126664.0;246;3;1;351;10.7;8.3;7.6;6.0;5.4;11.0;6.8;9.0;11.7;6.4
973;Bettenhausen;686.0;244;26;15;;-1.1;1.4;0.9;1.8;0.7;7.4;-2.0;-0.7;0.4;2.5
371;Biel;51323.0;242;4;2;371;2.0;1.8;3.2;0.4;0.1;-1.1;-0.7;1.2;1.4;1.6
603;Biglen;1729.0;246;12;15;;8.0;10.2;12.0;14.4;11.1;10.7;9.2;8.2;8.7;11.1
324;Bleienbach;654.0;244;2;19;;6.6;4.3;3.1;3.4;1.7;3.2;-0.5;6.6;2.2;1.1
604;Bleiken b.O.;385.0;246;12;16;;7.8;7.4;6.8;9.0;8.4;7.9;7.0;7.2;9.0;6.6
922;Blumenstein;1182.0;247;24;17;;4.8;2.7;1.4;2.5;2.4;2.9;2.3;2.3;3.8;3.1
352;Bolligen;6057.0;246;3;11;351;7.8;7.8;8.6;8.0;8.1;6.4;8.1;9.6;7.5;8.1
974;Bollodingen;0.0;244;26;19;;0.3;1.4;4.2;2.1;8.9;0.6;8.1;0.6;1.1;0.00
791;Boltigen;1366.0;248;19;21;;12.4;10.2;10.3;12.0;10.0;10.3;6.7;9.3;5.3;5.4
605;Bowil;1381.0;246;12;19;;3.9;4.5;4.0;5.0;9.1;8.8;9.1;7.3;7.2;7.0
353;Bremgarten b.B.;4210.0;246;3;11;351;11.0;9.0;9.8;11.7;10.6;9.5;8.8;11.4;15.5;6.1
606;Brenzikofen;524.0;246;12;15;;13.2;9.7;9.8;10.4;9.6;7.7;3.9;3.3;1.0;0.5
573;Brienz;3014.0;250;11;7;;5.8;4.9;4.7;4.5;4.8;4.7;4.3;6.4;8.4;9.7
574;Brienzwiler;511.0;250;11;17;;9.2;8.4;5.7;6.4;3.6;2.3;1.7;1.8;2.2;3.9
733;Brügg;4155.0;242;16;12;371;2.3;3.4;2.1;1.6;1.6;0.7;0.5;1.8;2.8;2.7
491;Brüttelen;577.0;243;8;21;;14.5;11.8;11.1;13.6;10.1;8.7;9.1;11.0;10.5;9.6
923;Buchholterberg;1531.0;247;24;19;;15.4;13.1;11.7;11.7;9.2;8.4;7.5;9.2;10.1;14.6
404;Burgdorf;15549.0;245;6;3;404;1.8;1.2;1.8;1.5;1.6;3.9;1.1;0.8;2.2;0.6
863;Burgistein;1026.0;247;22;16;;3.3;2.8;2.0;0.8;1.8;1.7;1.4;2.2;2.0;1.2
384;Busswil b.B.;0.0;243;5;14;371;5.0;4.2;4.2;3.4;3.6;3.4;4.1;4.0;5.0;0.00
325;Busswil b.M.;201.0;244;2;20;;-2.9;-1.3;-2.2;-3.2;-2.1;-5.7;-4.8;-2.7;-0.8;0.7
403;Bäriswil;1005.0;246;6;11;351;12.3;7.3;10.8;8.8;10.3;10.4;9.8;6.6;13.0;7.5
533;Bätterkinden;3171.0;245;9;15;;3.3;0.0;3.6;2.1;6.8;5.0;6.4;6.6;6.5;5.2
682;Bévilard;1681.0;241;15;18;;14.8;12.3;8.0;16.2;2.3;10.2;11.4;36.8;12.8;13.4
572;Bönigen;2447.0;250;11;7;;5.3;7.9;8.8;7.4;7.5;9.9;9.7;10.3;10.9;10.8
382;Büetigen;827.0;243;5;15;;7.2;5.6;9.4;8.1;6.2;4.0;6.2;4.5;2.9;3.8
734;Bühl;419.0;243;16;16;;9.0;6.4;5.5;5.2;9.9;5.4;4.8;4.8;5.4;3.3
383;Büren a.A.;3295.0;243;5;17;;2.2;5.5;1.9;1.2;0.6;0.2;0.9;1.5;1.1;1.4
534;Büren z.H.;468.0;246;9;15;;6.0;12.8;15.1;27.4;9.1;9.6;7.8;6.6;6.0;6.2
683;Champoz;162.0;241;15;21;;4.0;8.8;5.2;4.5;9.4;2.7;4.9;4.9;3.8;5.6
684;Châtelat;113.0;241;15;21;;7.4;11.8;10.2;11.7;12.4;6.9;4.4;3.4;7.2;4.9
661;Clavaleyres;49.0;246;14;21;;-7.3;-6.9;-15.9;-10.4;-7.2;-7.0;-5.0;-6.6;-4.7;-7.2
687;Corcelles;214.0;241;15;15;;16.1;13.2;11.1;7.6;13.1;5.8;5.9;5.1;6.6;8.4
431;Corgémont;1551.0;241;7;18;;2.4;4.8;5.4;6.0;6.7;3.7;2.6;3.4;5.3;5.2
432;Cormoret;495.0;241;7;15;;15.4;15.7;17.0;14.0;13.9;12.4;11.0;11.3;12.6;10.8
433;Cortébert;697.0;241;7;15;;13.0;7.2;7.1;9.6;8.9;7.4;7.9;12.3;15.6;15.2
690;Court;1390.0;241;15;18;;13.0;14.4;12.5;12.1;11.6;10.9;9.4;10.5;10.0;8.1
434;Courtelary;1283.0;241;7;18;;9.7;10.2;12.3;10.8;7.0;10.8;6.1;6.7;6.4;6.4
691;Crémines;550.0;241;15;18;;10.5;6.8;5.2;5.8;11.2;12.1;11.0;12.4;17.3;15.9
535;Deisswil b.M.;97.0;246;9;15;;-10.5;-5.2;-3.4;0.0;7.0;-3.6;-4.9;-4.8;1.8;-4.3
536;Diemerswil;199.0;246;9;11;351;3.2;0.8;1.3;1.1;0.2;0.1;0.4;0.1;2.9;-2.7
762;Diemtigen;2140.0;249;17;21;;6.6;7.2;9.3;8.2;8.0;8.0;8.1;7.7;6.6;6.7
385;Diessbach b.B.;923.0;243;5;15;;9.0;10.4;7.1;10.0;9.6;5.4;4.6;4.2;3.2;3.6
721;Diesse;443.0;241;13;17;;13.0;14.9;7.2;9.9;8.6;6.7;7.7;7.4;5.0;4.2
386;Dotzigen;1358.0;243;5;15;;8.2;8.6;9.0;10.5;8.2;8.0;7.6;7.7;7.3;7.4
575;Därligen;416.0;250;11;15;;17.7;11.9;18.3;19.2;11.9;17.5;15.8;7.2;5.0;-3.5
761;Därstetten;833.0;249;17;19;;4.6;4.3;4.4;4.1;3.8;4.2;4.6;3.3;6.3;7.8
952;Dürrenroth;1064.0;245;25;21;;5.6;6.8;6.7;6.7;3.2;3.2;6.7;11.7;4.1;3.8
901;Eggiwil;2453.0;245;23;21;;9.3;10.6;9.7;10.9;9.7;9.5;8.3;7.5;5.9;5.2
864;Englisberg;0.0;246;22;8;;1.9;2.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;12.5;13.7;10.8;8.1;4.9;4.4;4.1;2.7;2.5;4.5
953;Eriswil;1347.0;244;25;19;;10.0;10.4;11.6;11.9;7.6;5.6;4.1;2.1;3.1;3.5
924;Eriz;496.0;247;24;21;;7.4;10.7;20.8;18.4;31.3;11.8;21.0;8.8;7.2;7.3
492;Erlach;1278.0;243;8;17;;7.1;6.6;6.8;4.5;4.3;4.3;3.4;4.3;3.6;2.2
763;Erlenbach i.S.;1695.0;249;17;20;;9.4;10.1;11.4;9.9;10.5;8.8;7.7;5.7;6.8;6.2
405;Ersigen;1589.0;245;6;19;;12.2;12.3;13.6;10.8;10.7;8.9;9.5;13.4;13.9;11.8
692;Eschert;377.0;241;15;19;;9.6;15.6;14.4;10.5;9.5;6.7;7.2;9.9;6.2;7.1
537;Etzelkofen;289.0;246;9;18;;-1.4;-1.8;-1.9;-1.6;-2.2;-1.5;-1.4;-1.4;-1.0;1.2
372;Evilard;2424.0;242;4;5;371;11.3;9.1;6.8;6.3;5.1;4.1;3.0;3.4;4.4;3.8
925;Fahrni;741.0;247;24;20;;11.9;15.2;11.9;9.6;8.9;9.5;9.7;8.6;13.1;8.2
975;Farnern;209.0;244;26;15;;3.5;3.2;4.4;4.1;4.4;2.5;6.4;6.3;5.1;5.8
662;Ferenbalm;1270.0;246;14;15;;7.4;-2.4;6.5;5.0;4.5;5.3;3.9;14.9;3.1;3.7
493;Finsterhennen;501.0;243;8;20;;11.8;12.1;11.8;18.3;17.9;12.5;12.6;11.8;13.4;14.0
926;Forst;0.0;247;24;15;;3.5;1.4;1.8;3.7;3.2;0.00;0.00;0.00;0.00;0.00
948;Forst-Längenbühl;704.0;247;24;19;;0.00;0.00;0.00;0.00;0.00;5.9;3.9;3.7;2.8;-0.1
538;Fraubrunnen;1791.0;246;9;11;351;6.2;5.4;3.6;2.7;2.8;4.2;3.2;3.1;8.1;8.3
663;Frauenkappelen;1256.0;246;14;11;351;7.7;6.7;6.6;7.0;7.1;4.4;6.2;6.3;5.6;5.0
607;Freimettigen;424.0;246;12;15;;-3.4;-2.3;-0.8;0.5;2.5;1.9;0.9;1.4;2.6;4.0
563;Frutigen;6703.0;249;10;4;;12.9;17.0;14.1;8.6;7.4;7.7;4.8;4.0;3.9;4.2
781;Gadmen;229.0;250;18;22;;17.6;10.4;8.0;6.3;5.6;4.6;6.7;6.2;11.8;12.9
494;Gals;729.0;243;8;20;;10.3;9.8;7.4;6.8;4.3;4.0;1.9;1.3;1.2;1.8
495;Gampelen;791.0;243;8;17;;5.1;8.1;6.8;8.2;5.9;4.5;4.1;3.4;2.6;2.6
865;Gelterfingen;242.0;246;22;21;;2.6;1.2;0.2;0.2;1.5;0.3;-0.6;3.1;1.6;0.7
866;Gerzensee;1134.0;246;22;20;;11.6;13.3;15.6;12.2;11.2;9.4;9.4;12.8;9.9;10.0
664;Golaten;303.0;246;14;21;;1.4;1.2;-1.5;-0.3;-2.2;-1.0;0.8;2.6;2.3;2.6
326;Gondiswil;724.0;244;2;19;;3.4;3.2;8.4;9.8;5.2;5.6;4.0;6.7;7.7;8.0
976;Graben;291.0;244;26;15;;11.5;7.4;11.6;13.2;6.8;2.4;-2.8;3.2;4.0;4.9
539;Grafenried;976.0;246;9;11;351;6.0;6.3;9.5;9.8;8.9;6.7;6.0;7.4;5.0;7.2
694;Grandval;351.0;241;15;18;;12.2;16.3;13.7;11.1;10.0;9.8;7.8;7.8;6.2;5.8
576;Grindelwald;4040.0;250;11;6;;14.3;13.5;11.0;11.8;11.8;11.1;9.3;9.6;10.7;13.4
303;Grossaffoltern;2812.0;243;1;15;;3.7;3.1;1.6;3.1;3.2;3.1;2.6;4.4;5.4;5.4
608;Grosshöchstetten;3289.0;246;12;11;351;2.7;3.6;1.9;2.6;5.0;6.0;4.3;7.0;8.9;6.2
841;Gsteig;986.0;248;20;20;;-1.8;0.7;1.1;3.5;3.6;2.4;16.4;31.5;19.8;15.6
577;Gsteigwiler;430.0;250;11;14;;16.5;17.3;11.3;8.9;9.7;13.7;12.1;11.7;10.8;10.0
852;Guggisberg;1585.0;246;21;21;;3.6;3.1;4.1;4.7;4.7;4.7;3.6;4.1;3.9;10.6
665;Gurbrü;245.0;246;14;21;;2.8;1.2;2.0;9.6;16.0;14.2;11.1;9.6;6.2;6.6
867;Gurzelen;798.0;247;22;19;;5.4;7.0;9.0;7.3;6.9;7.9;3.8;5.5;5.5;5.3
327;Gutenburg;0.0;244;2;15;;5.0;6.1;4.5;2.2;1.2;0.00;0.00;0.00;0.00;0.00
782;Guttannen;321.0;250;18;7;;12.4;9.9;6.5;5.5;5.3;5.2;4.3;6.0;5.9;8.1
578;Gündlischwand;284.0;250;11;17;;8.3;18.4;4.7;6.9;10.1;13.3;7.5;9.7;9.0;9.2
579;Habkern;640.0;250;11;21;;7.2;8.4;6.8;5.1;6.6;4.4;9.2;8.2;7.4;7.4
736;Hagneck;415.0;243;16;15;;18.8;9.4;4.4;10.4;7.6;5.1;4.1;5.4;4.9;4.5
406;Hasle b.B.;3170.0;245;6;16;;15.7;11.2;14.6;11.3;9.7;11.9;8.7;10.7;11.8;15.4
783;Hasliberg;1229.0;250;18;6;;8.9;10.6;9.2;9.8;12.4;9.9;13.4;13.2;13.2;10.7
927;Heiligenschwendi;675.0;247;24;7;;3.2;5.9;5.9;5.7;8.0;6.2;6.1;7.8;9.0;5.9
928;Heimberg;6365.0;247;24;12;942;7.1;6.1;6.2;5.0;3.8;4.1;2.4;3.2;3.5;2.8
