K4 ZBA Zinsbelastungsanteil;;;;;;;;;
Der Zinsbelastungsanteil gibt Antwort auf die Frage, wie stark der Finanzertrag durch den
Zinsendienst belastet ist. Im Vergleich über mehrere Jahre wird die Verschuldungstendenz und
im Vergleich zu anderen Gemeinden die Verschuldungssituation erkannt.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
301;Aarberg;4090.0;243;1;17;;-0.3;-0.2;-2.9;-0.3;-1.0;-1.1;-1.4;-1.3;-1.2;-2.2
321;Aarwangen;4214.0;244;2;15;;0.0;0.4;-0.4;-0.5;-0.4;-1.8;-2.1;-0.8;-0.7;-0.6
561;Adelboden;3583.0;249;10;6;;2.8;4.6;3.7;4.8;1.6;-0.1;-0.7;-0.7;-0.6;-0.6
401;Aefligen;1036.0;245;6;14;404;3.4;3.9;0.4;0.2;-0.5;-0.4;-0.7;-0.7;-0.5;-0.7
731;Aegerten;1750.0;242;16;14;371;0.8;0.1;-0.4;-0.6;-0.7;-0.7;-0.9;-0.2;-1.0;-0.9
562;Aeschi b.Sp.;2070.0;249;10;7;;0.3;-0.1;-1.6;-0.6;-0.9;-1.4;-2.0;-2.5;-4.1;-3.8
601;Aeschlen;0.0;246;12;21;;2.3;-1.2;-1.8;-0.4;1.0;-2.0;-1.6;3.0;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;0.4;-0.3;-0.8;0.6;-0.2;-1.2;-1.6;-1.6;-1.1;-1.3
851;Albligen;0.0;246;21;20;;-0.3;-1.1;-1.3;-0.4;-0.1;0.8;0.6;0.4;-0.4;0.00
402;Alchenstorf;570.0;245;6;16;;-1.6;-1.5;-2.0;-2.4;-1.8;-3.4;-3.3;-3.4;-3.0;-2.9
630;Allmendingen;515.0;246;12;11;351;1.5;1.8;-0.8;-1.5;-1.4;-1.4;-1.4;-2.4;-3.4;-2.7
921;Amsoldingen;797.0;247;24;16;;-0.3;1.6;-0.8;-1.0;-0.3;-0.9;-1.6;-2.0;-2.4;-2.6
381;Arch;1542.0;243;5;18;;2.4;1.5;0.8;0.8;0.8;2.2;0.00;0.3;0.4;0.2
602;Arni;955.0;246;12;20;;-1.0;-0.9;-0.8;-0.0;-0.8;-0.8;-1.2;-1.8;-2.1;-2.2
971;Attiswil;1298.0;244;26;16;;0.2;-0.3;-0.2;0.00;0.2;0.8;0.8;-0.3;-0.5;-0.6
