K5 BVA Bruttoverschuldungsanteil;;;;;;;;;
Die Bruttoschulden (inkl. Sonderrechnungen) werden in Prozent des Finanzertrages dargestellt.
Damit wird die Verschuldungssituation ersichtlich. Die Verschuldung wird als kritisch eingestuft,
wenn die Schwelle von 200 % überschritten wird.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
301;Aarberg;4090.0;243;1;17;;54.5;46.4;47.0;41.4;31.9;23.4;15.3;7.1;3.5;0.6
321;Aarwangen;4214.0;244;2;15;;21.4;21.3;14.2;13.2;1.6;2.3;2.0;1.9;1.7;1.9
561;Adelboden;3583.0;249;10;6;;55.0;63.7;65.3;69.5;75.5;63.2;47.9;44.4;33.5;32.2
401;Aefligen;1036.0;245;6;14;404;136.1;106.3;79.0;78.7;64.9;48.4;48.4;78.0;26.0;25.0
731;Aegerten;1750.0;242;16;14;371;45.4;48.7;46.2;58.6;59.3;55.1;55.8;52.5;54.6;58.1
562;Aeschi b.Sp.;2070.0;249;10;7;;89.5;88.4;82.0;77.0;58.1;52.8;48.2;42.5;36.2;28.0
601;Aeschlen;0.0;246;12;21;;251.2;151.3;166.5;137.0;138.2;112.6;125.4;97.0;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;51.7;38.2;28.9;25.5;6.8;12.4;12.4;10.2;10.4;9.7
851;Albligen;0.0;246;21;20;;95.1;92.4;63.7;79.8;88.2;98.7;111.0;99.9;86.6;0.00
402;Alchenstorf;570.0;245;6;16;;13.2;14.1;3.3;0.7;0.6;0.8;0.6;0.5;0.4;0.4
630;Allmendingen;515.0;246;12;11;351;93.6;111.3;82.6;91.2;52.0;54.2;1.8;2.5;2.6;2.6
921;Amsoldingen;797.0;247;24;16;;61.2;51.2;48.6;51.0;33.6;11.7;9.9;8.5;0.00;0.00
381;Arch;1542.0;243;5;18;;85.9;85.8;78.7;84.7;73.3;74.7;61.7;67.5;72.0;68.6
