K6 IA Investitionsanteil;;;;;;;;;
Die Bruttoinvestitionen werden in Prozent der konsolidierten Ausgaben dargestellt. Damit
wird ersichtlich, wie hoch der Anteil der Bruttoinvestitionen an den konsolidierten Ausgaben ist.
Die Kennzahl zeigt die Aktivität im Bereich der Investitionen und/oder die Zunahme der
Nettoverschuldung, sie sagt jedoch alleine nichts über die finanzielle Situation der Gemeinde aus.

BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
301;Aarberg;4090.0;243;1;17;;8.1;3.1;9.8;7.2;4.7;5.5;6.2;9.2;6.7;43.7
321;Aarwangen;4214.0;244;2;15;;17.7;9.4;5.4;6.5;8.8;14.5;12.1;10.4;12.6;11.2
561;Adelboden;3583.0;249;10;6;;13.2;23.8;26.0;15.8;13.2;11.2;20.0;16.2;17.7;10.0
401;Aefligen;1036.0;245;6;14;404;3.2;4.1;7.0;3.4;4.0;11.6;11.6;26.9;24.2;7.4
731;Aegerten;1750.0;242;16;14;371;0.00;11.1;14.7;8.5;11.3;11.8;10.1;7.9;10.0;8.0
562;Aeschi b.Sp.;2070.0;249;10;7;;14.1;4.6;10.2;11.1;11.5;16.6;19.7;7.2;16.6;11.3
601;Aeschlen;0.0;246;12;21;;1.6;11.0;1.0;0.00;0.4;7.7;14.5;5.5;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;1.9;3.2;6.3;7.1;22.0;14.9;5.8;11.6;14.6;11.2
851;Albligen;0.0;246;21;20;;13.1;4.0;34.6;19.6;11.9;13.2;8.2;15.0;16.4;0.00
402;Alchenstorf;570.0;245;6;16;;9.7;8.0;13.8;13.9;9.4;5.8;14.8;3.5;11.6;9.5
630;Allmendingen;515.0;246;12;11;351;2.1;5.6;1.8;3.5;1.4;0.00;3.4;5.9;1.6;28.7
921;Amsoldingen;797.0;247;24;16;;11.8;6.9;2.2;5.7;3.1;10.6;7.1;24.7;12.1;12.6
381;Arch;1542.0;243;5;18;;0.00;3.1;3.0;3.3;4.0;5.3;2.6;8.4;11.5;9.6
602;Arni;955.0;246;12;20;;2.7;4.1;7.6;4.2;6.7;10.6;9.2;15.7;12.3;17.2
971;Attiswil;1298.0;244;26;16;;12.4;9.6;15.3;8.4;15.9;23.7;12.3;13.0;18.0;30.2
322;Auswil;460.0;244;2;19;;4.1;5.0;13.8;16.5;3.9;6.0;2.1;4.5;18.1;10.2
531;Ballmoos;0.0;246;9;21;;10.3;40.4;1.8;5.4;2.1;2.1;3.8;9.0;0.00;0.00
532;Bangerten;158.0;243;9;21;;6.8;2.6;4.0;0.8;10.2;0.00;11.7;6.4;8.7;31.7
323;Bannwil;676.0;244;2;15;;6.1;4.7;5.7;8.6;20.8;20.0;6.2;8.3;9.5;5.9
302;Bargen;1005.0;243;1;16;;7.3;13.4;7.2;16.0;7.9;9.4;18.3;14.8;22.0;8.5
571;Beatenberg;1126.0;250;11;7;;6.0;3.1;7.3;12.9;9.4;27.2;31.7;25.7;20.5;7.7
732;Bellmund;1490.0;242;16;14;371;5.8;9.0;11.2;10.8;3.6;7.2;9.1;12.2;22.5;11.9
861;Belp;10356.0;246;22;9;351;0.00;13.8;13.7;8.1;7.9;11.5;15.0;14.5;14.4;10.3
862;Belpberg;418.0;246;22;21;;59.5;66.9;49.5;7.0;12.8;14.1;12.6;12.0;24.1;18.1
681;Belprahon;300.0;241;15;15;;39.7;17.4;0.00;0.00;14.3;7.4;25.6;3.9;15.8;4.8
972;Berken;47.0;244;26;22;;63.9;0.00;0.00;60.2;0.00;0.00;0.00;0.00;0.00;0.00
351;Bern;126664.0;246;3;1;351;0.00;27.8;13.9;19.1;8.3;7.2;6.7;6.1;4.7;3.8
973;Bettenhausen;686.0;244;26;15;;2.4;6.7;8.4;6.1;4.9;5.6;3.0;10.8;0.4;9.9
371;Biel;51323.0;242;4;2;371;18.0;9.2;6.3;17.1;9.0;11.4;15.0;17.1;14.2;7.5
603;Biglen;1729.0;246;12;15;;0.00;22.8;15.7;4.3;5.2;9.4;14.8;7.8;7.2;8.8
324;Bleienbach;654.0;244;2;19;;0.00;0.00;0.00;1.4;4.4;8.7;21.3;22.4;3.6;13.2
604;Bleiken b.O.;385.0;246;12;16;;5.9;14.1;25.2;8.8;5.5;5.2;15.4;23.2;3.0;13.0
922;Blumenstein;1182.0;247;24;17;;11.8;5.3;10.7;5.5;7.0;12.0;5.8;13.3;11.2;43.5
352;Bolligen;6057.0;246;3;11;351;2.7;10.3;17.4;6.9;14.6;31.2;15.8;11.6;10.7;8.2
974;Bollodingen;0.0;244;26;19;;0.7;4.0;2.4;10.5;11.3;28.8;1.6;4.7;5.2;0.00
791;Boltigen;1366.0;248;19;21;;0.00;10.6;13.6;6.7;14.7;17.7;9.6;18.1;16.7;17.2
605;Bowil;1381.0;246;12;19;;13.4;14.8;12.4;17.1;27.0;8.0;9.9;5.4;23.4;7.9
353;Bremgarten b.B.;4210.0;246;3;11;351;0.00;5.4;10.4;21.3;13.0;14.4;10.6;12.0;11.8;20.1
606;Brenzikofen;524.0;246;12;15;;2.3;5.1;1.3;5.7;19.6;8.1;5.4;2.9;2.2;2.5
573;Brienz;3014.0;250;11;7;;11.8;9.7;17.3;11.5;9.4;21.2;18.9;38.6;37.2;24.4
574;Brienzwiler;511.0;250;11;17;;15.4;12.5;26.1;21.1;3.4;13.7;23.7;38.7;30.2;20.0
733;Brügg;4155.0;242;16;12;371;4.0;6.8;4.8;3.6;2.4;2.0;1.6;7.4;14.9;5.5
491;Brüttelen;577.0;243;8;21;;1.7;1.2;4.7;2.8;7.7;4.5;12.3;25.0;14.4;12.9
923;Buchholterberg;1531.0;247;24;19;;23.9;11.1;9.0;18.7;28.0;19.7;5.4;12.0;15.9;13.2
404;Burgdorf;15549.0;245;6;3;404;9.0;11.9;8.8;12.1;11.6;8.8;10.1;17.3;13.5;13.1
863;Burgistein;1026.0;247;22;16;;16.9;3.6;1.1;2.8;5.1;2.4;2.2;5.7;5.8;3.3
384;Busswil b.B.;0.0;243;5;14;371;0.00;4.4;2.6;2.6;18.4;14.4;17.8;19.4;27.9;0.00
325;Busswil b.M.;201.0;244;2;20;;26.1;2.9;7.3;3.4;14.5;19.1;4.5;11.3;23.8;10.0
403;Bäriswil;1005.0;246;6;11;351;7.0;6.8;18.9;12.6;6.7;7.4;17.0;12.1;31.5;24.8
533;Bätterkinden;3171.0;245;9;15;;7.2;6.7;3.0;3.5;17.3;13.9;9.6;9.8;9.2;9.0
682;Bévilard;1681.0;241;15;18;;14.6;8.8;9.3;20.3;19.5;12.4;17.4;41.0;5.2;16.0
572;Bönigen;2447.0;250;11;7;;11.2;21.5;12.7;13.2;20.0;30.1;15.6;16.3;23.9;21.5
382;Büetigen;827.0;243;5;15;;9.7;10.2;40.8;36.8;4.9;3.0;10.6;8.4;13.7;7.7
