K27 NIK Nettoinv. pro Einwohner;;;;;;;;;
Kurzbeschrieb: Nettoinvestitionen dividiert durch Anzahl Einwohner.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
301;Aarberg;4090.0;243;1;17;;382.74;38.60;436.10;273.18;249.20;238.94;359.13;596.18;389.54;414.40
321;Aarwangen;4214.0;244;2;15;;630.60;305.03;184.39;207.54;299.71;679.35;569.07;651.13;786.61;725.46
561;Adelboden;3583.0;249;10;6;;123.13;842.06;1026.08;510.07;335.06;376.27;817.38;498.93;726.38;365.02
401;Aefligen;1036.0;245;6;14;404;83.37;107.41;155.31;76.09;81.75;188.38;279.19;764.12;393.37;215.34
731;Aegerten;1750.0;242;16;14;371;0.00;409.20;588.71;304.74;357.02;463.14;387.57;267.75;324.14;282.79
562;Aeschi b.Sp.;2070.0;249;10;7;;400.58;45.18;300.61;174.14;249.30;264.44;573.10;154.46;267.98;336.39
601;Aeschlen;0.0;246;12;21;;-13.02;-400.89;22.37;0.00;2.36;216.31;460.46;127.62;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;10.70;128.63;240.84;192.98;810.48;506.37;203.81;424.37;412.37;440.80
851;Albligen;0.0;246;21;20;;478.00;4.88;556.80;582.18;355.39;381.19;219.01;397.71;479.46;0.00
402;Alchenstorf;570.0;245;6;16;;212.19;215.17;242.67;375.93;254.31;130.78;380.49;86.14;322.39;258.05
630;Allmendingen;515.0;246;12;11;351;65.50;195.33;43.55;111.82;-65.32;0.00;28.99;187.39;49.75;1266.54
921;Amsoldingen;797.0;247;24;16;;28.29;129.28;29.74;137.13;28.34;315.85;201.56;872.06;401.59;413.82
381;Arch;1542.0;243;5;18;;0.00;87.06;69.85;96.45;132.60;190.91;97.95;331.06;476.76;304.64
602;Arni;955.0;246;12;20;;-9.97;121.09;246.91;105.17;221.93;357.11;321.27;592.58;457.00;724.72
971;Attiswil;1298.0;244;26;16;;228.40;240.80;335.30;174.48;400.91;694.97;307.14;282.36;467.69;1027.01
322;Auswil;460.0;244;2;19;;109.45;154.42;418.80;591.45;54.64;163.94;62.51;120.80;600.89;162.23
