K29 EBPE EK / BF pro Einwohner;;;;;;;;;
Kurzbeschrieb: Eigenkapital oder Bilanzfehlbetrag dividiert durch die Einwohnerzahl.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
301;Aarberg;4090.0;243;1;17;;630.76;537.49;613.83;603.37;837.22;1024.13;1257.55;1388.82;1539.60;1574.28
321;Aarwangen;4214.0;244;2;15;;1525.71;1518.19;1496.50;1482.78;2278.66;2137.15;1942.05;1744.99;1575.66;1416.48
561;Adelboden;3583.0;249;10;6;;333.70;367.19;401.16;433.01;471.89;553.78;745.24;831.42;906.61;984.21
401;Aefligen;1036.0;245;6;14;404;177.55;288.18;529.15;514.29;584.89;591.23;529.30;531.36;1227.58;809.96
731;Aegerten;1750.0;242;16;14;371;743.73;557.92;489.31;318.08;408.73;552.09;494.92;800.98;913.18;766.25
562;Aeschi b.Sp.;2070.0;249;10;7;;419.03;513.02;645.90;524.40;721.98;781.09;845.58;1017.71;1033.65;1161.57
601;Aeschlen;0.0;246;12;21;;-487.76;528.62;972.36;1570.90;1576.34;2492.96;2420.88;2884.26;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;-269.13;-3.09;249.78;396.17;1921.04;1932.29;1815.63;1921.24;1802.95;1764.93
851;Albligen;0.0;246;21;20;;499.50;676.46;1705.78;1602.70;1596.78;1311.61;1118.47;1378.95;302.16;0.00
402;Alchenstorf;570.0;245;6;16;;1003.12;1083.05;1082.93;1123.50;1302.74;1061.86;1037.54;1051.18;1095.18;1026.68
630;Allmendingen;515.0;246;12;11;351;-779.94;-948.42;-1004.13;-929.63;-502.58;100.02;1113.73;1369.59;1173.23;1250.44
921;Amsoldingen;797.0;247;24;16;;498.26;616.63;693.57;604.33;694.80;618.75;506.80;571.88;751.25;770.67
381;Arch;1542.0;243;5;18;;17.20;27.60;288.20;565.65;712.97;858.52;1093.53;1348.22;1513.31;1708.14
602;Arni;955.0;246;12;20;;620.28;627.97;705.83;694.00;729.49;792.99;910.05;1130.18;1191.89;1262.99
971;Attiswil;1298.0;244;26;16;;693.77;741.17;737.65;697.83;799.28;743.32;796.21;888.60;1015.88;960.72
322;Auswil;460.0;244;2;19;;1421.53;1560.45;1543.89;1555.90;3978.04;4229.63;4751.45;4789.56;4746.39;4508.88
531;Ballmoos;0.0;246;9;21;;902.71;685.46;-43.84;-453.63;139.57;-262.08;-558.82;-1457.67;0.00;0.00
532;Bangerten;158.0;243;9;21;;3040.91;1861.41;1705.85;1960.01;2310.64;2451.82;2590.71;2381.54;2027.89;1738.22
