K30 EBPS EK / BF pro Steueranlagezehntel;;;;;;;;;
Kurzbeschrieb: Eigenkapital oder Bilanzfehlbetrag dividiert durch Ertrag eines Steueranlagezehntels.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SAZ];2003 [SAZ];2004 [SAZ];2005 [SAZ];2006 [SAZ];2007 [SAZ];2008 [SAZ];2009 [SAZ];2010 [SAZ];2011 [SAZ]
301;Aarberg;4090.0;243;1;17;;6.26;5.42;5.88;5.37;6.70;8.34;9.42;10.85;11.99;12.38
321;Aarwangen;4214.0;244;2;15;;16.32;18.74;16.28;14.25;22.24;22.44;17.80;16.04;13.28;12.17
561;Adelboden;3583.0;249;10;6;;4.56;4.67;4.87;5.82;6.49;7.00;8.65;9.97;10.61;11.10
401;Aefligen;1036.0;245;6;14;404;2.12;3.47;5.41;5.63;6.03;5.67;5.10;4.80;10.53;7.67
731;Aegerten;1750.0;242;16;14;371;6.91;5.93;4.96;3.19;3.90;5.48;4.74;6.77;9.15;7.22
562;Aeschi b.Sp.;2070.0;249;10;7;;5.61;6.68;8.87;6.95;8.87;9.54;9.31;11.00;12.01;11.95
601;Aeschlen;0.0;246;12;21;;7.28;8.57;15.50;16.87;23.03;32.60;35.24;35.51;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;4.70;0.05;3.71;5.39;25.23;23.80;22.12;21.95;23.67;20.59
851;Albligen;0.0;246;21;20;;9.41;9.37;24.12;24.09;20.93;19.94;14.92;16.76;3.32;0.00
402;Alchenstorf;570.0;245;6;16;;12.69;12.86;12.76;11.89;13.87;12.63;10.36;11.01;10.94;10.46
630;Allmendingen;515.0;246;12;11;351;4.84;7.00;6.95;7.07;3.12;0.63;7.26;8.31;8.51;6.97
921;Amsoldingen;797.0;247;24;16;;6.68;7.41;8.06;7.12;7.38;7.51;5.32;5.88;6.78;7.93
381;Arch;1542.0;243;5;18;;0.19;0.38;3.62;6.94;8.20;9.78;11.49;13.53;16.77;17.34
602;Arni;955.0;246;12;20;;11.32;10.23;13.40;12.40;11.96;11.96;12.68;14.99;16.71;15.82
971;Attiswil;1298.0;244;26;16;;8.85;9.29;9.57;7.88;8.91;8.35;7.80;8.87;10.62;10.09
322;Auswil;460.0;244;2;19;;24.87;22.50;27.24;27.57;55.66;58.13;51.48;61.42;54.51;62.35
531;Ballmoos;0.0;246;9;21;;16.33;9.19;0.56;5.30;1.58;3.24;7.24;29.22;0.00;0.00
532;Bangerten;158.0;243;9;21;;28.96;38.71;18.59;15.35;17.70;22.27;19.85;19.89;21.67;17.18
323;Bannwil;676.0;244;2;15;;3.45;0.64;5.27;7.69;10.62;12.26;11.75;17.46;20.19;19.48
302;Bargen;1005.0;243;1;16;;16.09;14.71;21.71;16.35;13.76;14.63;15.58;15.03;14.80;15.03
571;Beatenberg;1126.0;250;11;7;;0.00;3.38;8.19;6.95;6.77;7.04;8.02;7.89;7.57;8.91
732;Bellmund;1490.0;242;16;14;371;4.12;3.10;0.51;2.29;4.69;7.04;8.34;10.26;11.77;15.25
861;Belp;10356.0;246;22;9;351;2.76;2.67;2.47;2.45;2.48;4.09;5.57;8.60;8.85;12.33
862;Belpberg;418.0;246;22;21;;23.73;16.10;17.32;17.74;22.74;26.27;28.10;29.66;24.35;27.17
681;Belprahon;300.0;241;15;15;;29.22;27.68;32.55;30.19;23.31;23.72;22.16;23.99;23.09;22.82
972;Berken;47.0;244;26;22;;254.44;358.07;236.46;202.66;315.16;156.16;257.86;280.16;136.25;673.91
351;Bern;126664.0;246;3;1;351;11.88;10.23;10.13;11.40;8.13;4.86;4.01;2.14;0.67;2.29
973;Bettenhausen;686.0;244;26;15;;42.76;48.61;43.76;38.04;73.24;72.90;70.05;63.73;61.34;71.14
371;Biel;51323.0;242;4;2;371;6.33;6.90;7.22;6.86;7.23;6.99;6.00;6.92;5.83;3.98
603;Biglen;1729.0;246;12;15;;12.78;12.41;9.38;8.05;7.87;9.00;8.04;8.60;8.38;6.99
324;Bleienbach;654.0;244;2;19;;21.62;21.44;24.15;22.81;26.97;24.92;23.63;25.51;18.98;20.60
604;Bleiken b.O.;385.0;246;12;16;;15.84;13.39;12.83;11.39;10.30;10.85;9.95;9.80;8.67;10.59
922;Blumenstein;1182.0;247;24;17;;1.78;2.95;9.21;10.59;11.27;13.11;12.96;14.70;15.49;15.21
352;Bolligen;6057.0;246;3;11;351;4.94;5.55;5.33;5.41;5.24;5.14;4.74;4.01;3.36;3.55
