K31 BAPE Bereinigter Aufwand / Einwohner;;;;;;;;;
Kurzbeschrieb: Total Aufwand Laufende Rechnung ohne Abschreibungen (33), Durchlaufende Bei-
träge (37), Einlagen in Spezialfinanzierungen (38) und interne Verrechnungen (39)
dividiert durch die Einwohnerzahl.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
301;Aarberg;4090.0;243;1;17;;4907.78;5222.14;5445.00;5529.16;5859.85;5789.97;6003.12;7031.23;7122.34;4408.26
321;Aarwangen;4214.0;244;2;15;;3393.33;3787.14;3981.84;4060.89;4162.90;4467.55;4673.46;6062.02;6619.57;6234.49
561;Adelboden;3583.0;249;10;6;;3616.04;3599.66;3638.89;3510.76;3596.53;3684.52;3819.58;3706.30;3853.02;4031.01
401;Aefligen;1036.0;245;6;14;404;2572.48;2621.66;2384.26;2788.61;2792.40;2859.13;2952.66;2777.07;2815.46;2830.91
731;Aegerten;1750.0;242;16;14;371;3662.77;3455.61;3460.56;3523.74;3420.79;3543.75;3775.21;3556.89;3592.94;3612.38
562;Aeschi b.Sp.;2070.0;249;10;7;;3317.93;3184.62;3022.19;2998.94;2828.45;2803.33;2998.40;2931.66;2948.53;2787.32
601;Aeschlen;0.0;246;12;21;;2249.77;2223.12;2208.08;2534.09;2542.85;2513.20;2686.01;2419.79;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;3736.42;3865.88;4181.35;4064.35;3159.56;3190.08;3840.82;3436.42;3554.06;3359.85
851;Albligen;0.0;246;21;20;;3144.87;2988.51;3060.52;2637.73;2645.30;2768.26;2960.59;2700.25;2582.18;0.00
402;Alchenstorf;570.0;245;6;16;;2175.21;2599.00;2415.60;2284.28;2468.41;2443.55;2583.62;2538.11;2560.80;2675.34
630;Allmendingen;515.0;246;12;11;351;2972.16;3114.52;2997.90;3048.45;2961.08;2896.48;3085.45;3126.72;3141.57;3146.84
921;Amsoldingen;797.0;247;24;16;;2323.74;2284.85;2272.16;2394.25;2364.38;2668.34;2976.48;2812.22;3287.08;3157.17
381;Arch;1542.0;243;5;18;;3826.68;3784.13;3906.97;3581.86;3727.69;3834.21;4211.43;3861.15;4018.00;4147.97
