K32 SPE Selbstfinanzierung pro Einwohner;;;;;;;;;
Kurzbeschrieb: Selbstfinanzierung = Ertragsüberschuss Laufende Rechnung minus Aufwandüberschuss
Laufende Rechnung plus harmonisierte Abschreibungen Verwaltungsvermögen (331) plus übrige
Abschreibungen Verwaltungsvermögen (332) plus Abschreibungen Bilanzfehlbetrag (333) plus Einlagen
in Spezialfinanzierungen (38) minus Entnahmen aus Spezialfinanzierungen (48) dividiert durch die
Einwohnerzahl.
BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
301;Aarberg;4090.0;243;1;17;;193.11;239.74;377.14;545.73;907.29;843.87;890.38;806.48;1177.58;3455.54
321;Aarwangen;4214.0;244;2;15;;707.12;417.57;233.39;400.06;2404.21;292.59;306.93;362.00;346.73;320.35
561;Adelboden;3583.0;249;10;6;;536.18;611.17;473.67;396.47;397.08;578.62;836.79;892.03;820.90;701.68
401;Aefligen;1036.0;245;6;14;404;351.16;557.08;1060.85;295.00;471.93;563.14;174.67;283.64;1415.83;245.71
731;Aegerten;1750.0;242;16;14;371;224.45;151.13;385.68;307.55;561.59;730.28;406.47;795.67;575.86;274.09
562;Aeschi b.Sp.;2070.0;249;10;7;;560.54;349.31;387.95;172.17;646.65;489.82;534.42;753.92;502.34;689.64
601;Aeschlen;0.0;246;12;21;;696.55;1216.84;549.41;711.84;161.45;1004.24;82.78;907.51;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;415.18;606.02;654.35;526.61;4118.03;561.16;-564.00;517.49;94.53;121.63
851;Albligen;0.0;246;21;20;;532.22;311.88;1140.86;122.99;161.91;91.46;-43.62;502.18;855.86;0.00
402;Alchenstorf;570.0;245;6;16;;463.26;522.28;365.40;615.42;1262.07;297.55;173.59;249.17;360.71;121.59
630;Allmendingen;515.0;246;12;11;351;1007.97;188.24;452.35;385.45;873.94;930.66;1513.48;634.02;425.55;583.20
921;Amsoldingen;797.0;247;24;16;;259.08;356.15;396.66;147.94;1068.09;95.37;104.28;368.81;682.22;287.87
381;Arch;1542.0;243;5;18;;475.41;362.24;487.22;440.95;558.98;444.30;565.92;509.06;412.08;402.46
602;Arni;955.0;246;12;20;;447.37;725.29;403.34;370.12;315.15;526.44;612.10;739.32;523.25;430.49
971;Attiswil;1298.0;244;26;16;;281.16;321.02;283.23;239.49;535.10;248.01;364.70;542.40;515.72;201.59
322;Auswil;460.0;244;2;19;;410.88;370.87;109.35;173.32;2912.98;614.74;683.60;175.84;349.01;-28.82
531;Ballmoos;0.0;246;9;21;;-919.82;-62.72;-198.67;-142.31;854.00;-113.67;-64.70;-1324.83;0.00;0.00
532;Bangerten;158.0;243;9;21;;190.32;-994.95;92.16;350.99;850.75;25.49;382.04;254.08;-195.24;-27.08
323;Bannwil;676.0;244;2;15;;560.83;695.12;985.43;705.13;1822.40;539.76;222.20;1276.84;313.58;543.48
302;Bargen;1005.0;243;1;16;;92.51;1328.06;350.99;177.23;413.19;752.88;716.44;826.29;1103.58;694.44
571;Beatenberg;1126.0;250;11;7;;1373.02;919.74;1053.97;435.47;681.91;767.27;844.93;862.88;1036.85;1190.54
732;Bellmund;1490.0;242;16;14;371;179.68;33.83;34.35;491.28;1173.72;890.55;983.15;1366.91;1555.03;108.87
861;Belp;10356.0;246;22;9;351;521.09;657.93;608.60;556.07;599.49;971.73;1163.71;1290.23;958.54;1101.30
862;Belpberg;418.0;246;22;21;;224.68;476.38;315.23;446.92;547.89;624.51;476.49;973.25;-120.36;769.86
681;Belprahon;300.0;241;15;15;;1060.41;516.27;392.95;397.77;-213.12;539.99;534.27;358.73;364.63;478.86
972;Berken;47.0;244;26;22;;1786.31;12.55;623.39;244.14;4830.19;1792.72;649.35;7379.26;1894.44;-1086.81
351;Bern;126664.0;246;3;1;351;1148.78;336.19;395.46;215.06;341.49;719.80;488.92;756.33;1188.48;779.79
973;Bettenhausen;686.0;244;26;15;;344.65;415.07;429.04;394.34;3167.95;-216.96;58.14;-27.51;-173.21;347.87
371;Biel;51323.0;242;4;2;371;971.63;920.05;503.10;458.86;721.18;862.14;1115.04;622.42;468.19;427.78
603;Biglen;1729.0;246;12;15;;770.10;313.87;615.62;430.31;557.91;577.88;412.10;777.47;489.23;268.55
324;Bleienbach;654.0;244;2;19;;406.34;921.62;244.93;389.82;4430.88;178.42;287.63;44.33;-427.45;2707.86
604;Bleiken b.O.;385.0;246;12;16;;515.20;377.61;524.51;244.62;271.87;353.21;311.21;273.72;258.26;490.46
922;Blumenstein;1182.0;247;24;17;;947.61;467.76;967.78;515.34;431.59;673.54;654.46;875.02;604.11;2439.68
352;Bolligen;6057.0;246;3;11;351;408.26;490.78;290.06;438.69;409.56;1745.57;397.03;193.71;258.14;345.58
974;Bollodingen;0.0;244;26;19;;-13.44;382.08;586.52;582.29;4918.60;71.10;310.08;319.60;108.29;0.00
791;Boltigen;1366.0;248;19;21;;385.83;271.02;455.35;237.61;195.76;480.50;475.20;622.01;716.33;695.81
605;Bowil;1381.0;246;12;19;;304.59;529.69;590.00;255.68;47.48;167.75;118.20;222.61;270.50;343.65
353;Bremgarten b.B.;4210.0;246;3;11;351;732.94;594.44;586.66;485.43;685.62;828.31;831.92;799.26;690.70;446.88
606;Brenzikofen;524.0;246;12;15;;1133.20;564.62;442.45;510.00;532.03;1498.21;489.86;415.90;301.19;607.90
573;Brienz;3014.0;250;11;7;;873.40;912.96;923.14;724.50;-17.54;763.95;384.32;317.30;644.23;593.15
574;Brienzwiler;511.0;250;11;17;;1268.54;1018.86;1063.35;1144.61;697.05;903.66;1098.70;1076.06;1169.08;770.04
733;Brügg;4155.0;242;16;12;371;1726.88;666.49;165.71;280.61;733.54;891.23;333.33;-25.66;-211.11;677.42
491;Brüttelen;577.0;243;8;21;;831.18;391.70;2.76;-122.32;276.09;789.12;296.71;734.71;819.39;636.11
923;Buchholterberg;1531.0;247;24;19;;369.10;438.16;545.19;369.40;511.71;550.61;424.44;298.27;415.90;393.74
404;Burgdorf;15549.0;245;6;3;404;378.75;631.80;428.99;347.81;300.11;244.27;214.12;217.64;383.32;433.85
863;Burgistein;1026.0;247;22;16;;265.68;219.70;511.85;392.74;143.65;217.75;32.34;205.65;458.91;340.15
384;Busswil b.B.;0.0;243;5;14;371;218.22;543.93;856.86;551.61;732.42;583.81;681.30;573.35;581.32;0.00
325;Busswil b.M.;201.0;244;2;20;;591.60;428.23;641.42;124.12;3277.24;230.77;-202.88;-502.79;-423.35;-592.25
403;Bäriswil;1005.0;246;6;11;351;373.81;642.72;482.35;561.97;183.45;400.19;466.36;2245.02;90.30;318.59
533;Bätterkinden;3171.0;245;9;15;;377.92;432.60;95.80;408.14;405.83;492.46;486.81;532.54;665.05;325.01
682;Bévilard;1681.0;241;15;18;;168.85;345.46;885.95;325.08;525.09;593.57;423.29;127.67;482.77;608.90
572;Bönigen;2447.0;250;11;7;;296.78;369.67;616.64;209.28;396.32;304.51;175.87;418.08;331.96;576.28
382;Büetigen;827.0;243;5;15;;745.95;1065.51;1142.43;1111.13;819.80;732.59;648.97;828.59;306.41;147.25
734;Bühl;419.0;243;16;16;;386.71;798.48;1166.92;866.25;1044.75;497.88;901.41;312.26;619.92;433.14
383;Büren a.A.;3295.0;243;5;17;;343.56;643.23;372.50;670.57;1249.32;288.15;310.05;651.91;320.98;6.66
534;Büren z.H.;468.0;246;9;15;;483.70;398.33;-186.19;1064.81;596.16;176.90;246.16;793.08;589.25;22.33
683;Champoz;162.0;241;15;21;;300.94;341.14;912.47;1157.57;915.72;1914.16;1100.17;1170.48;2896.50;1095.22
684;Châtelat;113.0;241;15;21;;677.23;252.16;65.96;80.59;634.49;905.67;356.49;444.20;377.24;501.04
661;Clavaleyres;49.0;246;14;21;;448.62;331.08;713.94;-252.72;436.25;-148.43;2077.23;637.73;1119.44;242.70
687;Corcelles;214.0;241;15;15;;-194.01;354.03;460.60;700.69;431.33;785.09;353.87;716.21;758.04;639.15
431;Corgémont;1551.0;241;7;18;;684.30;458.54;498.72;745.60;2648.23;940.25;1519.59;624.65;178.13;1156.40
432;Cormoret;495.0;241;7;15;;480.58;559.24;221.45;815.48;705.07;933.54;972.81;745.24;650.15;538.88
433;Cortébert;697.0;241;7;15;;472.48;557.48;525.87;374.44;484.10;846.73;807.16;753.10;499.11;631.10
690;Court;1390.0;241;15;18;;302.65;318.43;211.46;365.82;618.84;778.53;755.85;458.93;355.55;502.49
434;Courtelary;1283.0;241;7;18;;100.20;220.07;572.56;617.44;416.98;665.21;1044.61;904.56;251.25;154.54
691;Crémines;550.0;241;15;18;;-105.04;302.13;733.52;670.50;440.32;694.25;469.18;522.82;262.84;118.31
535;Deisswil b.M.;97.0;246;9;15;;-105.33;197.26;161.59;562.05;-45.05;-9.16;314.22;664.90;1513.99;-880.73
536;Diemerswil;199.0;246;9;11;351;264.44;-191.10;563.09;1010.62;359.43;748.82;602.98;489.96;725.11;1463.15
762;Diemtigen;2140.0;249;17;21;;258.62;224.79;187.66;168.63;20.57;220.69;396.42;718.17;642.97;535.06
385;Diessbach b.B.;923.0;243;5;15;;308.36;214.74;492.80;813.05;552.11;638.08;614.58;891.68;1065.74;513.92
721;Diesse;443.0;241;13;17;;-601.07;-140.99;646.63;447.23;586.97;577.72;504.28;988.07;1282.70;984.00
386;Dotzigen;1358.0;243;5;15;;706.94;241.87;374.86;349.58;661.27;665.81;590.15;405.52;594.99;586.88
575;Därligen;416.0;250;11;15;;-236.37;1485.09;-674.52;-982.98;-64.79;608.05;860.94;369.63;554.87;805.44
761;Därstetten;833.0;249;17;19;;682.94;199.24;523.89;695.21;642.47;481.49;384.05;528.77;335.62;193.12
952;Dürrenroth;1064.0;245;25;21;;663.11;247.10;248.14;385.81;5413.05;445.19;-32.69;411.93;523.27;771.98
901;Eggiwil;2453.0;245;23;21;;539.54;355.83;757.84;473.34;658.21;749.64;1361.94;1045.76;1139.59;410.35
864;Englisberg;0.0;246;22;8;;-114.22;-109.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;895.73;919.42;1644.27;625.29;680.68;1601.38;831.45;661.82;485.56;964.20
953;Eriswil;1347.0;244;25;19;;1025.41;1066.86;842.45;781.75;4649.92;720.75;34.19;623.13;375.18;311.76
924;Eriz;496.0;247;24;21;;705.71;1919.03;686.31;500.27;1682.49;1142.63;702.20;1422.51;713.57;969.74
492;Erlach;1278.0;243;8;17;;485.57;403.73;383.98;518.96;897.65;618.67;564.07;893.97;629.15;519.30
763;Erlenbach i.S.;1695.0;249;17;20;;335.10;350.61;533.31;438.37;468.64;761.60;401.42;773.21;744.99;767.95
405;Ersigen;1589.0;245;6;19;;498.76;616.58;195.94;622.03;604.64;976.29;596.79;585.18;742.87;588.22
692;Eschert;377.0;241;15;19;;-262.85;43.56;461.19;78.16;330.22;666.01;229.74;189.75;317.02;880.54
537;Etzelkofen;289.0;246;9;18;;543.73;925.65;772.13;537.93;229.11;254.17;682.03;412.59;-117.77;-141.27
372;Evilard;2424.0;242;4;5;371;856.46;332.84;296.78;482.46;1567.06;1464.84;745.93;455.50;1087.95;59.82
925;Fahrni;741.0;247;24;20;;467.53;35.87;389.92;662.12;553.09;330.61;280.33;658.62;783.20;999.12
975;Farnern;209.0;244;26;15;;542.45;868.08;669.06;316.15;621.27;1663.16;166.99;-71.81;841.44;379.87
662;Ferenbalm;1270.0;246;14;15;;164.83;100.57;251.57;254.73;368.36;163.71;314.40;311.68;314.83;-85.67
493;Finsterhennen;501.0;243;8;20;;316.18;329.50;430.23;376.93;205.66;928.12;628.85;1234.39;535.97;330.57
926;Forst;0.0;247;24;15;;1380.42;119.60;530.62;441.02;283.28;0.00;0.00;0.00;0.00;0.00
