K33 IQ Investitionsquote;;;;;;;;;
Kurzbeschrieb: Nettoinvestitionen dividiert durch den Finanzertrag.
Finanzertrag = Total Ertrag Laufende Rechnung ohne Durchlaufende Beiträge (47), Entnahmen aus
Spezialfinanzierungen (48) und interne Verrechnungen (49).


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
301;Aarberg;4090.0;243;1;17;;0.07;0.01;0.07;0.04;0.04;0.04;0.05;0.08;0.05;0.05
321;Aarwangen;4214.0;244;2;15;;0.15;0.07;0.04;0.05;0.05;0.14;0.11;0.10;0.11;0.11
561;Adelboden;3583.0;249;10;6;;0.03;0.19;0.24;0.12;0.08;0.09;0.18;0.11;0.15;0.08
401;Aefligen;1036.0;245;6;14;404;0.03;0.03;0.04;0.02;0.02;0.05;0.09;0.25;0.09;0.07
731;Aegerten;1750.0;242;16;14;371;0.00;0.11;0.15;0.08;0.09;0.11;0.09;0.06;0.08;0.07
562;Aeschi b.Sp.;2070.0;249;10;7;;0.10;0.01;0.09;0.05;0.07;0.08;0.16;0.04;0.08;0.10
601;Aeschlen;0.0;246;12;21;;0.00;-0.12;0.01;0.00;0.00;0.06;0.16;0.03;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;0.00;0.03;0.05;0.04;0.11;0.13;0.06;0.11;0.11;0.12
851;Albligen;0.0;246;21;20;;0.13;0.00;0.13;0.21;0.12;0.13;0.07;0.12;0.14;0.00
402;Alchenstorf;570.0;245;6;16;;0.08;0.07;0.09;0.13;0.07;0.05;0.14;0.03;0.11;0.09
630;Allmendingen;515.0;246;12;11;351;0.02;0.06;0.01;0.03;-0.02;0.00;0.01;0.05;0.01;0.34
921;Amsoldingen;797.0;247;24;16;;0.01;0.05;0.01;0.05;0.01;0.11;0.07;0.27;0.10;0.12
381;Arch;1542.0;243;5;18;;0.00;0.02;0.02;0.02;0.03;0.04;0.02;0.07;0.11;0.07
602;Arni;955.0;246;12;20;;0.00;0.03;0.07;0.03;0.06;0.10;0.08;0.15;0.12;0.18
971;Attiswil;1298.0;244;26;16;;0.08;0.09;0.13;0.07;0.14;0.26;0.10;0.10;0.15;0.37
322;Auswil;460.0;244;2;19;;0.04;0.05;0.14;0.18;0.01;0.05;0.02;0.04;0.19;0.06
531;Ballmoos;0.0;246;9;21;;0.17;0.10;-0.09;0.06;0.02;0.02;0.04;0.17;0.00;0.00
532;Bangerten;158.0;243;9;21;;0.07;0.04;0.04;0.01;0.05;-0.01;0.12;0.06;0.10;0.47
323;Bannwil;676.0;244;2;15;;0.04;0.04;0.02;0.04;0.13;0.17;0.01;0.06;0.07;0.04
