K34 FPE FK pro Einwohner;;;;;;;;;
Kurzbeschrieb: Fremdkapital dividiert durch die Einwohnerzahl.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
301;Aarberg;4090.0;243;1;17;;3761.88;3401.51;3708.12;3479.09;3086.55;2546.63;2024.96;2119.15;1398.01;679.42
321;Aarwangen;4214.0;244;2;15;;1234.72;1116.37;791.72;859.56;677.61;698.43;371.16;460.83;905.59;849.14
561;Adelboden;3583.0;249;10;6;;3537.42;3809.33;3850.38;3489.77;3719.51;3310.50;2927.50;2952.73;2351.38;2209.08
401;Aefligen;1036.0;245;6;14;404;4398.95;3696.76;3039.12;2820.04;2474.86;2052.28;1942.52;2890.59;1401.75;1000.53
731;Aegerten;1750.0;242;16;14;371;2328.23;2446.01;2352.93;2708.96;2831.58;2821.99;2920.84;2709.22;2872.02;2724.16
562;Aeschi b.Sp.;2070.0;249;10;7;;3796.03;3503.62;3062.08;2625.67;2297.86;2048.37;1918.12;1936.74;1552.56;1267.18
601;Aeschlen;0.0;246;12;21;;8077.34;5873.11;5312.19;5338.02;4509.01;4469.75;4070.00;4207.59;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;2515.78;1920.52;1834.26;1667.17;832.70;743.78;1325.71;1506.19;1629.84;1605.51
851;Albligen;0.0;246;21;20;;3977.56;3488.37;3038.52;2568.48;2969.70;3423.94;3622.12;3747.10;3472.18;0.00
402;Alchenstorf;570.0;245;6;16;;746.69;1035.28;984.52;555.36;485.80;528.99;594.07;547.84;634.12;679.53
630;Allmendingen;515.0;246;12;11;351;5782.77;5063.61;4286.23;4210.96;2854.36;2697.99;590.37;693.21;736.36;1215.65
921;Amsoldingen;797.0;247;24;16;;2233.59;2337.98;2141.62;2407.96;1972.11;876.32;783.76;832.90;693.81;494.32
381;Arch;1542.0;243;5;18;;19535.86;3778.21;3818.48;3728.36;3463.64;3601.89;3576.65;3631.91;3832.57;4058.58
602;Arni;955.0;246;12;20;;3531.13;3066.66;2773.80;2449.21;2322.88;2296.37;2048.79;1961.59;1937.97;1818.20
971;Attiswil;1298.0;244;26;16;;1448.34;1680.04;1408.26;1297.62;1567.80;1787.67;2009.79;1717.06;1593.45;2310.09
322;Auswil;460.0;244;2;19;;1115.30;1158.87;1056.79;1377.92;1030.84;689.24;686.54;664.80;722.30;559.89
531;Ballmoos;0.0;246;9;21;;1582.08;2211.51;2327.57;2596.43;1919.16;2167.32;2230.53;3960.39;0.00;0.00
532;Bangerten;158.0;243;9;21;;3073.87;2995.38;3657.35;3967.59;3980.65;4416.62;4472.61;4195.80;3956.20;4433.15
323;Bannwil;676.0;244;2;15;;3747.25;3769.01;2891.09;2636.66;1514.55;2203.07;2206.87;2588.85;1823.30;1751.84
302;Bargen;1005.0;243;1;16;;2124.65;1872.83;1413.76;1338.24;1380.25;1026.68;1231.19;1056.15;990.96;923.54
571;Beatenberg;1126.0;250;11;7;;6898.26;6635.78;6600.72;5664.80;5448.66;5818.68;5991.69;6007.08;5515.05;5533.03
732;Bellmund;1490.0;242;16;14;371;1939.74;1571.39;1673.14;2496.41;2021.19;2110.02;1907.40;1595.60;1446.48;1532.01
861;Belp;10356.0;246;22;9;351;2889.73;2403.72;2629.64;2765.55;2779.98;2766.24;2484.08;2432.25;2250.43;1910.20
862;Belpberg;418.0;246;22;21;;4861.25;6463.70;6123.29;4262.57;3167.64;2648.59;2477.18;1882.73;1419.41;1335.78
681;Belprahon;300.0;241;15;15;;5820.45;6075.05;6267.55;5913.46;5706.09;5871.07;6803.41;5873.53;5845.92;5442.88
972;Berken;47.0;244;26;22;;154.14;100.97;37.24;202.49;155.57;190.50;5235.03;84.33;71.02;367.30
351;Bern;126664.0;246;3;1;351;16714.69;16587.03;17006.87;17580.57;17098.06;17452.49;17224.89;18657.04;20819.42;23569.28
973;Bettenhausen;686.0;244;26;15;;290.65;386.74;316.87;448.10;115.15;187.68;208.98;238.63;291.92;357.45
371;Biel;51323.0;242;4;2;371;10973.16;11053.61;11381.62;11028.63;10449.87;10054.58;10223.84;10504.54;10940.83;11529.32
603;Biglen;1729.0;246;12;15;;2990.39;3133.37;3521.82;3308.90;2984.46;2887.36;2544.39;2579.31;2396.69;1894.73
324;Bleienbach;654.0;244;2;19;;1143.27;778.20;959.09;972.53;469.73;357.79;534.99;377.06;711.61;1481.83
604;Bleiken b.O.;385.0;246;12;16;;1538.41;1699.74;1846.76;1725.77;1625.94;1097.05;1091.20;1753.62;1013.27;1266.57
922;Blumenstein;1182.0;247;24;17;;1026.23;1043.06;847.01;748.58;741.19;901.47;677.64;811.62;665.54;462.87
352;Bolligen;6057.0;246;3;11;351;4567.08;3606.71;2988.14;2969.55;3150.16;3130.29;3391.67;3539.09;3622.00;3604.15
974;Bollodingen;0.0;244;26;19;;2737.79;2917.45;2838.75;2737.61;999.20;422.42;422.49;317.84;333.17;0.00
791;Boltigen;1366.0;248;19;21;;5245.21;5125.99;5496.27;4983.64;5002.88;4929.94;4169.26;4108.68;4435.70;4528.89
605;Bowil;1381.0;246;12;19;;2147.28;1610.93;1540.62;1554.55;2381.90;2319.32;2471.90;2809.04;2680.56;2482.38
353;Bremgarten b.B.;4210.0;246;3;11;351;6704.80;6483.99;6100.09;6650.97;6223.89;5819.23;5740.97;5194.72;4883.95;4316.96
606;Brenzikofen;524.0;246;12;15;;6008.56;5373.89;4117.88;3663.98;3449.19;2731.52;1771.36;837.65;640.01;749.86
573;Brienz;3014.0;250;11;7;;1981.51;1660.64;1639.02;2307.76;3318.09;2975.03;3021.67;3966.16;5572.16;4613.91
574;Brienzwiler;511.0;250;11;17;;5103.06;4278.84;3240.21;2048.02;1741.22;1783.99;2246.93;1911.65;2081.04;2198.86
733;Brügg;4155.0;242;16;12;371;3663.62;2874.77;3706.31;3053.58;3296.72;3228.72;3378.50;2758.29;3533.34;3659.51
491;Brüttelen;577.0;243;8;21;;4381.12;3668.60;3032.16;2978.38;3145.65;3191.25;2820.84;3277.86;3017.71;3311.43
