K35 FPS FK in Steueranlagezehntel;;;;;;;;;
Kurzbeschrieb: Fremdkapital dividiert durch Ertrag eines Steueranlagezehntels.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SAZ];2003 [SAZ];2004 [SAZ];2005 [SAZ];2006 [SAZ];2007 [SAZ];2008 [SAZ];2009 [SAZ];2010 [SAZ];2011 [SAZ]
301;Aarberg;4090.0;243;1;17;;37.35;34.29;35.55;30.97;24.71;20.73;15.17;16.55;10.89;5.34
321;Aarwangen;4214.0;244;2;15;;13.21;13.78;8.61;8.26;6.61;7.33;3.40;4.23;7.63;7.30
561;Adelboden;3583.0;249;10;6;;48.34;48.46;46.78;46.88;51.16;41.87;33.97;35.42;27.53;24.91
401;Aefligen;1036.0;245;6;14;404;52.56;44.45;31.09;30.84;25.53;19.67;18.71;26.11;12.02;9.48
731;Aegerten;1750.0;242;16;14;371;21.64;25.99;23.85;27.18;27.04;28.00;27.95;22.88;28.79;25.66
562;Aeschi b.Sp.;2070.0;249;10;7;;50.86;45.61;42.05;34.80;28.24;25.01;21.12;20.92;18.03;13.03
601;Aeschlen;0.0;246;12;21;;120.63;95.27;84.70;57.32;65.88;58.46;59.24;51.80;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;43.95;31.53;27.28;22.68;10.93;9.16;16.15;17.21;21.40;18.73
851;Albligen;0.0;246;21;20;;74.94;48.33;42.96;38.61;38.92;52.06;48.31;45.54;38.20;0.00
402;Alchenstorf;570.0;245;6;16;;9.45;12.29;11.60;5.88;5.17;6.29;5.93;5.74;6.33;6.92
630;Allmendingen;515.0;246;12;11;351;35.92;37.35;29.67;32.04;17.71;16.91;3.85;4.21;5.34;6.77
921;Amsoldingen;797.0;247;24;16;;29.94;28.11;24.89;28.38;20.93;10.63;8.22;8.57;6.26;5.09
381;Arch;1542.0;243;5;18;;213.60;51.60;47.95;45.75;39.85;41.03;37.57;36.44;42.48;41.20
602;Arni;955.0;246;12;20;;64.45;49.96;52.65;43.76;38.08;34.63;28.56;26.01;27.17;22.77
971;Attiswil;1298.0;244;26;16;;18.48;21.06;18.27;14.66;17.47;20.09;19.68;17.14;16.66;24.27
322;Auswil;460.0;244;2;19;;19.51;16.71;18.65;24.42;14.42;9.47;7.44;8.52;8.29;7.74
531;Ballmoos;0.0;246;9;21;;28.61;29.64;29.84;30.36;21.68;26.81;28.88;79.38;0.00;0.00
532;Bangerten;158.0;243;9;21;;29.27;62.28;39.85;31.08;30.50;40.11;34.28;35.04;42.27;43.82
323;Bannwil;676.0;244;2;15;;47.10;47.59;29.37;26.35;16.41;23.06;22.72;22.56;18.62;15.60
302;Bargen;1005.0;243;1;16;;27.25;15.71;19.75;16.27;15.48;11.33;12.63;10.65;9.77;9.30
571;Beatenberg;1126.0;250;11;7;;99.32;84.49;78.14;72.83;63.61;66.32;73.52;70.60;59.02;56.48
732;Bellmund;1490.0;242;16;14;371;13.67;13.56;15.08;23.63;12.31;14.93;11.84;7.64;5.95;8.77
861;Belp;10356.0;246;22;9;351;25.84;21.04;21.60;22.78;23.46;21.15;18.33;17.54;15.82;13.17
862;Belpberg;418.0;246;22;21;;90.36;82.36;83.73;56.37;42.00;31.71;27.43;16.66;15.98;14.68
