K36 NPEV NettoA pro Einwohner allg. Verwaltung;;;;;;;;;
Kurzbeschrieb: Nettoaufwand Allgemeine Verwaltung (Funktion 011, 012, 029) dividiert
durch die Einwohnerzahl.



BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
301;Aarberg;4090.0;243;1;17;;253.76;104.35;111.74;99.49;92.27;102.73;102.10;58.22;68.36;71.93
321;Aarwangen;4214.0;244;2;15;;262.08;266.88;290.53;292.73;302.05;382.23;323.24;347.04;355.21;325.95
561;Adelboden;3583.0;249;10;6;;317.51;306.86;331.55;288.09;288.24;299.90;293.00;283.90;278.00;269.61
401;Aefligen;1036.0;245;6;14;404;360.68;334.83;345.41;369.18;386.23;378.39;361.43;356.41;341.43;346.94
731;Aegerten;1750.0;242;16;14;371;358.02;360.59;358.99;360.39;362.46;376.42;384.44;392.20;387.03;391.64
562;Aeschi b.Sp.;2070.0;249;10;7;;277.32;284.17;288.66;335.31;346.97;339.53;359.89;345.33;375.15;375.43
601;Aeschlen;0.0;246;12;21;;305.00;295.79;305.93;364.47;338.83;367.66;358.54;398.66;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;294.51;300.49;315.94;359.33;364.72;376.37;355.33;393.34;437.82;381.14
851;Albligen;0.0;246;21;20;;461.42;344.02;341.12;417.81;413.04;379.38;456.41;420.22;423.70;0.00
402;Alchenstorf;570.0;245;6;16;;284.37;378.57;343.32;315.50;347.96;357.81;360.52;349.10;362.05;384.11
630;Allmendingen;515.0;246;12;11;351;397.76;433.09;390.54;440.96;461.44;445.82;459.72;466.50;502.09;651.53
921;Amsoldingen;797.0;247;24;16;;276.41;262.06;264.12;238.61;295.69;496.65;396.55;397.46;337.04;322.17
381;Arch;1542.0;243;5;18;;183.40;178.11;170.48;199.18;204.54;206.33;227.43;267.45;239.33;224.45
602;Arni;955.0;246;12;20;;264.91;278.35;280.77;298.42;280.87;282.46;287.39;306.09;424.03;449.93
971;Attiswil;1298.0;244;26;16;;329.28;288.34;299.32;277.61;297.31;287.22;295.84;303.43;306.60;310.69
322;Auswil;460.0;244;2;19;;361.78;387.00;370.96;421.29;435.33;424.81;451.11;479.35;479.49;461.58
531;Ballmoos;0.0;246;9;21;;497.81;529.88;536.76;605.70;538.77;545.10;637.80;907.60;0.00;0.00
532;Bangerten;158.0;243;9;21;;726.40;685.44;575.92;668.31;698.22;693.11;696.66;716.29;704.22;734.01
323;Bannwil;676.0;244;2;15;;396.29;396.83;391.33;391.73;420.76;420.43;386.46;400.58;419.91;369.61
302;Bargen;1005.0;243;1;16;;334.87;318.77;318.01;330.87;319.88;319.08;319.99;346.96;322.21;379.97
571;Beatenberg;1126.0;250;11;7;;458.58;487.75;432.02;417.45;421.87;454.10;437.66;444.46;413.61;447.23
732;Bellmund;1490.0;242;16;14;371;280.19;303.59;291.32;293.26;291.34;316.29;313.83;376.82;409.15;402.00
861;Belp;10356.0;246;22;9;351;272.93;259.42;251.51;255.86;265.21;267.29;280.65;271.98;278.17;281.69
862;Belpberg;418.0;246;22;21;;359.72;368.08;356.93;377.79;371.01;400.30;319.95;387.77;388.28;558.38
681;Belprahon;300.0;241;15;15;;385.79;364.86;321.16;305.70;341.43;358.44;374.98;390.56;417.69;419.78
972;Berken;47.0;244;26;22;;483.81;511.61;539.09;537.13;704.59;619.50;620.91;585.80;567.39;616.73
351;Bern;126664.0;246;3;1;351;179.70;217.94;212.18;182.24;161.15;118.09;193.08;100.17;97.47;91.32
973;Bettenhausen;686.0;244;26;15;;291.23;323.09;301.65;325.63;336.54;400.04;403.56;428.31;396.27;476.84
371;Biel;51323.0;242;4;2;371;169.02;734.22;486.86;542.96;905.91;997.30;1026.65;349.58;767.92;789.62
603;Biglen;1729.0;246;12;15;;280.46;335.96;288.51;283.13;238.23;243.78;237.10;247.36;318.77;321.48
324;Bleienbach;654.0;244;2;19;;328.47;284.81;323.11;328.31;382.94;385.40;363.16;419.68;457.67;459.27
604;Bleiken b.O.;385.0;246;12;16;;433.54;422.21;408.60;463.16;423.18;453.28;508.00;493.43;511.09;502.70
922;Blumenstein;1182.0;247;24;17;;410.07;423.87;435.06;447.76;426.34;434.31;458.08;515.02;466.64;478.43
352;Bolligen;6057.0;246;3;11;351;372.40;361.85;365.74;362.50;368.32;386.87;413.46;388.60;383.69;374.48
974;Bollodingen;0.0;244;26;19;;439.74;486.91;449.13;469.33;479.26;502.26;573.42;571.85;596.74;0.00
791;Boltigen;1366.0;248;19;21;;332.02;339.60;321.99;344.67;356.89;353.69;315.84;353.51;344.66;415.80
605;Bowil;1381.0;246;12;19;;280.67;302.04;298.05;308.57;306.44;302.66;295.78;323.55;345.79;352.04
353;Bremgarten b.B.;4210.0;246;3;11;351;282.13;302.87;302.94;292.36;310.75;291.51;304.07;320.41;335.65;305.09
606;Brenzikofen;524.0;246;12;15;;244.58;246.46;257.37;256.98;266.65;267.17;266.32;276.75;292.44;307.13
573;Brienz;3014.0;250;11;7;;327.09;314.50;307.60;268.70;301.05;334.03;302.18;390.16;357.82;395.48
574;Brienzwiler;511.0;250;11;17;;381.33;385.10;404.36;404.87;419.51;431.89;465.97;546.22;487.53;516.69
733;Brügg;4155.0;242;16;12;371;399.44;435.38;487.64;424.36;433.86;486.34;504.97;507.66;480.28;488.07
491;Brüttelen;577.0;243;8;21;;363.25;345.68;343.53;329.11;310.78;287.76;292.20;343.36;338.56;369.78
923;Buchholterberg;1531.0;247;24;19;;234.25;234.27;257.98;329.84;332.65;345.14;391.79;394.33;381.00;386.38
404;Burgdorf;15549.0;245;6;3;404;241.83;240.90;235.09;211.56;710.17;678.65;837.52;857.46;863.25;872.90
863;Burgistein;1026.0;247;22;16;;271.34;285.65;299.28;270.67;273.96;272.56;299.29;346.03;300.73;345.62
384;Busswil b.B.;0.0;243;5;14;371;262.35;242.79;248.02;269.06;270.22;276.26;290.30;295.60;343.52;0.00
325;Busswil b.M.;201.0;244;2;20;;488.47;503.35;554.31;542.09;568.38;528.33;561.84;669.99;623.09;667.32
403;Bäriswil;1005.0;246;6;11;351;318.99;309.02;297.21;308.86;355.48;366.70;394.60;381.39;433.76;397.72
533;Bätterkinden;3171.0;245;9;15;;314.97;369.78;320.54;317.74;340.59;338.27;344.59;338.37;312.62;302.55
682;Bévilard;1681.0;241;15;18;;268.96;277.98;259.43;261.02;259.60;273.44;271.29;279.41;265.76;272.08
572;Bönigen;2447.0;250;11;7;;365.75;365.04;352.96;461.10;407.96;373.81;385.01;401.13;369.07;378.34
382;Büetigen;827.0;243;5;15;;326.90;334.88;327.79;328.33;318.12;333.94;291.97;312.23;274.95;312.77
734;Bühl;419.0;243;16;16;;440.41;461.14;382.32;414.67;472.32;430.63;417.41;429.58;465.06;549.65
383;Büren a.A.;3295.0;243;5;17;;280.94;302.40;319.13;310.23;323.43;364.33;380.19;381.02;366.26;404.28
534;Büren z.H.;468.0;246;9;15;;462.86;517.42;497.48;499.40;583.96;520.61;630.13;469.01;436.05;453.39
683;Champoz;162.0;241;15;21;;284.49;355.32;315.49;269.29;310.29;331.43;358.05;410.60;352.25;489.93
684;Châtelat;113.0;241;15;21;;411.35;433.88;480.88;506.33;508.76;522.37;546.41;570.65;559.61;620.18
661;Clavaleyres;49.0;246;14;21;;769.89;878.20;596.46;605.42;563.04;740.72;624.42;632.14;684.64;674.99
687;Corcelles;214.0;241;15;15;;303.42;296.84;313.50;347.91;307.39;299.47;316.46;391.65;388.92;455.43
