K37 NPEWZ NettoA pro Einwohner Wehrdienst + Zivilschutz;;;;;;;;;
Kurzbeschrieb: Nettoaufwand Wehrdienst und Zivilschutz (Funktion 140, 160) dividiert durch
die Einwohnerzahl.



BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
301;Aarberg;4090.0;243;1;17;;44.44;42.85;46.14;43.50;46.71;45.69;41.63;46.16;42.33;36.89
321;Aarwangen;4214.0;244;2;15;;12.77;12.98;14.01;11.80;10.91;10.82;10.07;1.56;1.45;1.59
561;Adelboden;3583.0;249;10;6;;18.84;-2.47;2.54;0.32;0.47;1.71;-5.56;8.36;-0.73;3.38
401;Aefligen;1036.0;245;6;14;404;15.77;14.78;16.64;15.88;-15.76;14.76;-15.05;4.41;4.52;-21.47
731;Aegerten;1750.0;242;16;14;371;37.00;15.95;10.68;2.17;13.25;6.86;9.68;10.69;13.15;10.04
562;Aeschi b.Sp.;2070.0;249;10;7;;20.32;17.47;25.03;30.23;21.28;14.02;12.76;14.16;19.57;31.12
601;Aeschlen;0.0;246;12;21;;-13.14;13.15;39.96;66.84;42.23;-10.39;39.53;23.57;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;15.13;23.08;16.74;14.07;16.58;16.37;17.98;-8.29;4.63;5.10
851;Albligen;0.0;246;21;20;;36.24;14.64;27.48;11.36;27.17;22.88;5.81;7.59;7.55;0.00
402;Alchenstorf;570.0;245;6;16;;16.98;4.01;6.51;7.73;16.06;38.84;16.25;69.27;16.70;20.82
630;Allmendingen;515.0;246;12;11;351;31.10;34.10;42.31;36.52;2.54;18.53;7.80;25.50;7.27;-25.27
921;Amsoldingen;797.0;247;24;16;;12.54;18.23;16.87;15.05;20.16;0.00;0.00;-4.55;0.00;0.00
381;Arch;1542.0;243;5;18;;27.77;28.83;24.59;-62.17;18.34;2.10;12.08;11.76;17.41;15.75
602;Arni;955.0;246;12;20;;13.39;17.73;20.35;18.93;19.90;18.12;17.93;20.83;21.07;22.06
971;Attiswil;1298.0;244;26;16;;7.63;-11.44;-7.34;4.08;13.46;0.26;0.52;5.34;-4.42;0.29
322;Auswil;460.0;244;2;19;;11.86;27.02;14.13;13.93;13.29;15.17;12.57;12.40;12.64;21.03
531;Ballmoos;0.0;246;9;21;;-80.48;-86.69;-56.93;-51.71;-9.57;0.00;0.00;0.00;0.00;0.00
532;Bangerten;158.0;243;9;21;;-28.79;90.60;19.66;0.00;0.00;-24.90;0.88;0.18;3.96;36.99
323;Bannwil;676.0;244;2;15;;30.08;14.94;11.67;13.03;10.47;13.29;12.36;14.15;12.26;13.25
302;Bargen;1005.0;243;1;16;;25.26;48.95;42.44;47.05;47.93;47.35;40.22;51.17;40.60;32.18
571;Beatenberg;1126.0;250;11;7;;19.76;32.07;13.38;16.82;17.30;25.00;26.89;32.19;23.05;39.56
732;Bellmund;1490.0;242;16;14;371;14.05;6.61;9.28;24.31;14.48;-43.85;11.48;12.90;-15.29;15.10
861;Belp;10356.0;246;22;9;351;35.14;43.51;35.54;32.96;34.85;30.16;25.82;27.84;35.00;19.13
862;Belpberg;418.0;246;22;21;;-50.59;24.35;27.69;60.36;50.30;46.00;125.67;45.00;63.47;52.19
681;Belprahon;300.0;241;15;15;;18.54;33.93;19.77;124.62;30.66;45.62;58.02;30.60;38.34;45.64
