K38 NPSKV NettoA pro Schüler Kindergarten + Volksschule;;;;;;;;;
Kurzbeschrieb: Nettoaufwand (Funktion 200, 210, 212, 219) abzüglich Lastenanteile
Lehrergehälter dividiert durch Schülerzahl Kindergarten und Volksschule.



BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
301;Aarberg;4090.0;243;1;17;;1095.54;1927.74;1825.05;1907.08;1443.33;1757.78;1741.36;1816.65;1413.60;1380.92
321;Aarwangen;4214.0;244;2;15;;513.58;848.58;621.26;804.96;525.53;767.82;845.61;800.51;786.13;957.17
561;Adelboden;3583.0;249;10;6;;639.46;673.65;713.48;654.19;518.56;807.98;1071.50;800.12;1117.44;976.22
401;Aefligen;1036.0;245;6;14;404;1088.09;1233.59;1366.84;1878.91;1478.36;2038.36;2155.72;2222.63;1708.49;1968.26
731;Aegerten;1750.0;242;16;14;371;2334.99;2363.05;1825.14;2541.86;1732.93;2431.77;3207.59;2715.20;2849.08;2351.58
562;Aeschi b.Sp.;2070.0;249;10;7;;520.98;681.77;625.98;875.64;551.57;715.26;830.48;700.77;845.17;612.38
601;Aeschlen;0.0;246;12;21;;638.45;1092.82;828.50;1477.64;1124.77;1020.56;1637.50;1120.09;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;1143.90;1403.48;1609.89;1621.26;1775.37;1672.50;2161.66;1738.01;1525.50;1532.17
851;Albligen;0.0;246;21;20;;1699.15;1688.95;1281.71;1391.32;1799.71;2234.06;2639.77;2735.34;2757.53;0.00
402;Alchenstorf;570.0;245;6;16;;630.86;1300.36;790.65;1072.18;847.88;1169.04;1567.03;1093.86;1283.84;1562.68
630;Allmendingen;515.0;246;12;11;351;2181.47;2520.71;1774.87;2112.27;2174.56;2026.97;2651.88;1739.78;2034.28;1682.65
921;Amsoldingen;797.0;247;24;16;;2024.99;2023.72;2070.13;2121.15;1991.15;1577.77;2335.88;2245.64;1016.78;-893.11
381;Arch;1542.0;243;5;18;;1547.25;1664.79;1531.67;1154.15;787.89;1338.40;1365.76;1607.37;1793.45;1200.27
602;Arni;955.0;246;12;20;;1254.45;1582.12;1630.48;1745.66;2441.14;1493.71;1472.14;1057.47;889.12;815.65
971;Attiswil;1298.0;244;26;16;;1178.80;1542.11;1125.77;1731.48;852.57;1590.37;1386.59;1576.95;1977.71;1752.03
322;Auswil;460.0;244;2;19;;1037.31;1806.85;1930.02;1725.13;1450.80;1848.51;1764.56;2926.71;2802.31;2701.47
531;Ballmoos;0.0;246;9;21;;2563.69;2313.61;3597.37;3351.09;2512.25;3745.70;4510.95;3895.88;0.00;0.00
532;Bangerten;158.0;243;9;21;;5984.91;4303.29;3471.22;5720.94;2975.63;4212.65;3883.42;3495.04;4388.43;5539.88
323;Bannwil;676.0;244;2;15;;857.79;781.27;923.66;1266.73;1106.37;1399.89;1461.16;1242.75;1613.39;1262.51
302;Bargen;1005.0;243;1;16;;1773.43;2118.54;2050.46;1924.79;2119.54;1553.57;1584.62;1466.13;1431.46;1382.49
571;Beatenberg;1126.0;250;11;7;;1069.60;1412.14;1154.34;1312.50;1068.60;2189.29;1275.16;1603.85;1166.88;1508.70
732;Bellmund;1490.0;242;16;14;371;1972.65;1892.38;2248.70;2385.28;1898.18;2082.11;2164.30;2121.13;2507.73;2150.86
861;Belp;10356.0;246;22;9;351;560.44;913.29;691.82;740.40;421.13;529.42;807.41;730.12;806.47;485.29
862;Belpberg;418.0;246;22;21;;612.30;890.27;963.81;1540.42;1618.34;666.78;2171.40;1200.32;2489.94;2039.12
681;Belprahon;300.0;241;15;15;;1230.11;2221.44;1774.66;2213.14;2372.00;2078.75;2748.91;3489.58;2823.92;2950.91
972;Berken;47.0;244;26;22;;1933.25;5034.57;2885.69;5418.80;2356.25;3558.38;2716.75;1688.87;9161.54;4304.65
351;Bern;126664.0;246;3;1;351;632.27;1303.99;4112.95;3350.57;4116.83;4650.38;5757.72;6380.03;6383.14;5803.79
973;Bettenhausen;686.0;244;26;15;;1805.94;1441.94;1904.20;2377.61;1909.94;2661.35;2278.48;3203.58;2366.41;1037.57
371;Biel;51323.0;242;4;2;371;1899.71;2271.67;2114.88;1338.32;928.03;1490.99;2121.50;2030.56;2241.17;2651.28
603;Biglen;1729.0;246;12;15;;-488.77;-289.82;-756.30;-291.05;-694.81;-379.84;-1.32;-161.28;-674.28;43.89
324;Bleienbach;654.0;244;2;19;;1345.94;1608.08;1759.63;1665.95;1230.97;1061.13;1088.38;1536.31;2949.82;2297.42
604;Bleiken b.O.;385.0;246;12;16;;504.26;764.98;565.27;1059.01;696.69;972.91;1155.71;1514.74;1246.35;1838.44
922;Blumenstein;1182.0;247;24;17;;1338.59;1480.93;1432.76;1730.98;1174.17;1784.59;1726.72;1876.93;2028.01;1390.67
352;Bolligen;6057.0;246;3;11;351;431.33;936.19;939.83;818.87;429.43;813.04;921.13;920.18;873.76;696.51
974;Bollodingen;0.0;244;26;19;;2592.62;3049.97;3121.15;2969.85;3051.14;3588.32;4559.09;4552.26;2937.87;0.00
791;Boltigen;1366.0;248;19;21;;912.55;1112.55;1018.72;1328.57;769.29;1101.44;1434.83;1379.33;1209.36;1569.04
605;Bowil;1381.0;246;12;19;;786.19;1015.38;994.43;1277.06;1213.94;1318.44;1661.30;1239.04;1599.15;1099.45
353;Bremgarten b.B.;4210.0;246;3;11;351;805.96;1396.69;1262.52;1320.91;1198.68;1004.24;1480.54;1144.48;1412.01;1176.30
