K40 PPKG NettoA pro Km Gemeindestrassen;;;;;;;;;
Kurzbeschrieb: Nettoaufwand Gemeindestrassen (Funktion 620) dividiert durch
die Strassenlänge Klassen I - III.



BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
301;Aarberg;4090.0;243;1;17;;18421.70;20059.25;17667.78;14999.35;20730.19;16685.67;21357.33;27069.90;24991.40;22902.06
321;Aarwangen;4214.0;244;2;15;;14043.45;15261.64;13131.29;14295.22;14441.17;13649.32;13085.28;10791.83;10360.72;9403.77
561;Adelboden;3583.0;249;10;6;;19425.12;22362.59;15934.04;14976.38;13543.47;13519.26;14830.92;14485.19;13606.69;12821.16
401;Aefligen;1036.0;245;6;14;404;9407.99;8792.00;10701.95;10198.77;6146.02;5641.71;10745.35;7820.88;8533.74;9483.07
731;Aegerten;1750.0;242;16;14;371;20987.99;18197.10;26692.21;28313.89;30790.37;36712.87;34291.92;41235.30;29431.79;32126.98
562;Aeschi b.Sp.;2070.0;249;10;7;;9793.73;12282.52;9958.23;12281.66;9940.24;9746.60;7920.91;10869.61;8965.32;6085.40
601;Aeschlen;0.0;246;12;21;;821.00;1364.64;5.08;2952.64;244.83;-1624.57;-1042.60;6084.00;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;4416.75;6335.52;7215.12;5036.07;5502.31;4047.00;610.53;5809.32;9119.92;8565.30
851;Albligen;0.0;246;21;20;;15334.12;21491.17;18671.20;11941.62;10770.90;12691.61;12414.16;16884.93;9279.44;0.00
402;Alchenstorf;570.0;245;6;16;;5792.42;7678.87;17995.05;7120.97;3770.55;5933.95;4307.74;3328.06;5864.45;5894.81
630;Allmendingen;515.0;246;12;11;351;6392.55;5101.20;19542.84;11726.11;14296.85;8775.75;9401.61;18762.83;11914.59;8536.40
921;Amsoldingen;797.0;247;24;16;;7199.23;5451.94;8025.37;6182.14;4238.87;2548.43;4481.91;5877.72;11971.56;5629.94
381;Arch;1542.0;243;5;18;;18358.38;20464.62;13592.26;15059.52;14778.29;19888.13;17202.04;21505.58;11508.76;17748.58
602;Arni;955.0;246;12;20;;3087.34;1935.79;1941.73;4579.33;6017.00;3263.98;5151.89;6555.41;6287.11;3190.51
971;Attiswil;1298.0;244;26;16;;5535.94;6079.57;5225.83;6955.12;4229.16;3122.74;4051.71;4078.25;6884.03;5078.79
322;Auswil;460.0;244;2;19;;1350.04;1644.70;893.75;927.42;767.12;-231.50;1795.58;2869.65;3788.27;-104.11
531;Ballmoos;0.0;246;9;21;;-764.61;-957.13;-263.00;258.45;-1852.88;-1817.10;-2921.57;-2132.29;0.00;0.00
532;Bangerten;158.0;243;9;21;;448.18;714.20;-1433.42;951.18;-674.12;-1904.42;-1885.46;-1887.31;927.16;-1915.37
323;Bannwil;676.0;244;2;15;;14467.46;13310.39;16403.10;20811.09;20021.04;17023.55;13579.08;15834.27;14873.15;10921.51
302;Bargen;1005.0;243;1;16;;4005.21;4678.79;3768.17;2754.08;4969.54;2397.14;3610.76;5279.04;4288.31;6250.89
571;Beatenberg;1126.0;250;11;7;;7618.37;8678.78;7213.45;7734.64;6079.53;5390.07;7021.31;9111.92;9376.62;7507.89
732;Bellmund;1490.0;242;16;14;371;32160.28;18843.37;15016.25;14823.02;13588.02;23725.45;16957.66;15384.54;22211.48;21188.19
861;Belp;10356.0;246;22;9;351;30510.26;29414.14;29553.69;30921.93;26091.61;24795.69;26900.38;26469.45;26988.12;24309.58
862;Belpberg;418.0;246;22;21;;3017.05;6363.85;7464.21;10620.16;8884.43;6204.03;11558.35;8491.76;12715.66;10079.07
681;Belprahon;300.0;241;15;15;;5466.37;14391.43;11784.06;7595.09;6502.72;2211.69;15260.02;4262.82;4232.53;7386.27
972;Berken;47.0;244;26;22;;-12628.00;-910.21;-7508.98;-3334.76;-12869.60;-16729.85;-9534.73;-5770.81;-5171.47;-11026.36
351;Bern;126664.0;246;3;1;351;106015.64;84042.66;101530.41;116344.34;133510.33;131493.45;138216.64;152023.23;151503.52;132735.87
973;Bettenhausen;686.0;244;26;15;;12722.07;12116.15;15726.99;14497.94;4676.15;3244.45;7434.88;6579.79;7722.07;4367.08
371;Biel;51323.0;242;4;2;371;6331.62;7298.18;7067.37;7793.65;8792.36;32643.98;33670.05;47204.87;43398.66;44071.16
603;Biglen;1729.0;246;12;15;;16075.82;16345.32;17713.11;17879.20;16386.14;10790.63;13665.66;19652.40;15914.53;17120.08
324;Bleienbach;654.0;244;2;19;;6604.59;6568.52;7971.82;5933.37;3984.02;3499.68;3694.16;2805.53;8763.32;6364.01
604;Bleiken b.O.;385.0;246;12;16;;2015.74;7312.33;1093.98;-215.96;-469.92;1171.90;967.54;768.34;1626.50;1721.57
922;Blumenstein;1182.0;247;24;17;;2975.07;3425.75;3221.84;3010.17;-8.51;179.95;592.59;591.89;5832.98;3687.84
