K41 BRPE Bereinigtes Rechnungsergebnis / Einwohner;;;;;;;;;
Kurzbeschrieb: Ertrag Laufende Rechnung minus Aufwand Laufende Rechnung plus übrige
Abschreibungen dividiert durch die Einwohnerzahl.



BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
301;Aarberg;4090.0;243;1;17;;-30.91;-87.92;224.21;150.86;292.81;425.67;478.06;478.01;585.52;191.49
321;Aarwangen;4214.0;244;2;15;;409.98;153.24;128.34;172.40;1024.95;17.01;416.31;123.80;78.95;74.22
561;Adelboden;3583.0;249;10;6;;427.27;948.84;221.39;125.02;74.90;265.99;463.02;460.61;332.54;362.54
401;Aefligen;1036.0;245;6;14;404;37.42;147.14;666.05;-22.24;151.35;371.84;35.12;36.95;1154.35;-31.09
731;Aegerten;1750.0;242;16;14;371;-181.91;-167.13;64.19;-34.52;211.84;433.91;22.69;462.63;184.45;-114.84
562;Aeschi b.Sp.;2070.0;249;10;7;;281.13;178.85;131.85;-126.43;355.99;213.86;279.47;451.04;255.79;354.38
601;Aeschlen;0.0;246;12;21;;-73.34;528.62;438.67;589.13;50.16;885.40;-43.50;514.07;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;0.00;0.00;249.78;189.90;3886.55;326.16;-115.00;416.15;-53.05;73.83
851;Albligen;0.0;246;21;20;;216.87;166.64;1036.24;-82.41;-32.24;-304.30;-221.05;276.90;561.28;0.00
402;Alchenstorf;570.0;245;6;16;;283.05;383.40;93.44;326.28;168.86;81.69;-24.32;64.48;94.82;145.39
630;Allmendingen;515.0;246;12;11;351;0.00;42.94;-66.15;111.82;0.00;100.02;1216.14;251.32;-174.40;1119.83
921;Amsoldingen;797.0;247;24;16;;5.70;121.48;89.08;-87.80;684.33;-51.83;-111.18;162.31;300.57;135.44
381;Arch;1542.0;243;5;18;;17.20;10.40;260.69;281.25;302.13;205.46;231.18;241.99;247.38;273.89
602;Arni;955.0;246;12;20;;246.75;500.09;240.41;228.06;164.94;412.51;485.53;626.16;384.26;299.49
971;Attiswil;1298.0;244;26;16;;4.59;49.89;-11.58;-59.61;241.79;-64.41;104.62;242.08;231.55;-68.63
322;Auswil;460.0;244;2;19;;165.07;216.79;-32.65;-23.82;2664.21;507.16;501.85;-3.66;178.34;-206.55
531;Ballmoos;0.0;246;9;21;;-1082.37;-217.25;-753.78;-359.05;601.76;-399.06;-301.51;-877.77;0.00;0.00
532;Bangerten;158.0;243;9;21;;18.79;-1215.92;-155.56;168.33;711.35;-127.87;138.89;142.52;-324.25;-341.01
323;Bannwil;676.0;244;2;15;;0.00;0.00;543.49;264.08;1395.69;320.87;-25.28;841.29;3.38;197.70
302;Bargen;1005.0;243;1;16;;-217.35;871.01;-152.07;-240.15;-114.37;124.90;197.04;567.60;490.66;158.72
571;Beatenberg;1126.0;250;11;7;;91.06;390.24;479.33;-33.12;143.01;139.16;237.51;185.81;520.95;791.86
732;Bellmund;1490.0;242;16;14;371;216.48;-208.24;-301.70;185.11;877.01;618.95;772.38;1120.04;1269.67;18.71
861;Belp;10356.0;246;22;9;351;307.13;469.07;476.65;297.19;332.71;730.45;991.49;938.50;636.88;877.51
