K42 NPE NettoA pro Einwohner;;;;;;;;;
Kurzbeschrieb: Total Aufwand Laufende Rechnung ohne durchlaufende Beiträge (37), interne
Verrechnungen (39), übrige Abschreibungen (332) und Finanzausgleich (920.361) minus
Total Ertrag Laufende Rechnung ohne Steuern (40), Benützungsgebühren (434),
Verkaufserlöse (435) und Finanzausgleich (920.444) dividiert durch die Einwohnerzahl.

BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
301;Aarberg;4090.0;243;1;17;;3470.23;3443.04;3146.91;3419.82;3843.94;3459.18;3569.83;3325.04;3535.95;1942.71
321;Aarwangen;4214.0;244;2;15;;2682.16;2603.44;2823.65;3059.55;1938.40;2910.26;2574.05;2716.74;3215.37;2719.58
561;Adelboden;3583.0;249;10;6;;2429.06;1935.01;2730.14;2771.39;2723.18;2770.74;2927.42;2859.19;3023.11;3076.32
401;Aefligen;1036.0;245;6;14;404;2162.79;2134.74;1780.56;2182.99;2209.79;2067.52;2185.61;2094.08;1029.13;2030.78
731;Aegerten;1750.0;242;16;14;371;3317.35;3047.88;2952.70;3040.33;3037.25;2750.33;3368.24;3120.57;3089.32;3273.05
562;Aeschi b.Sp.;2070.0;249;10;7;;2164.53;2137.53;1969.06;2320.86;2137.66;2257.88;2413.41;2260.91;2280.22;2233.51
601;Aeschlen;0.0;246;12;21;;1746.58;1638.52;1740.11;2216.91;2101.86;1537.05;2236.94;2460.06;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;3360.62;3468.58;3819.76;3602.45;-1260.14;2232.40;2551.61;2213.49;2490.19;2535.93
851;Albligen;0.0;246;21;20;;1933.54;2166.36;1426.67;2333.06;2470.84;2625.41;2811.66;2554.62;2547.54;0.00
402;Alchenstorf;570.0;245;6;16;;1756.27;1938.96;2023.84;2101.72;2206.85;1906.94;2324.68;2308.47;2421.51;2296.52
630;Allmendingen;515.0;246;12;11;351;3081.09;2311.05;3000.69;2533.92;3184.99;2947.11;1721.36;2506.81;2572.38;1871.28
921;Amsoldingen;797.0;247;24;16;;2325.09;2249.72;2249.42;2308.99;1933.10;2247.54;2533.34;2357.52;2486.90;2247.95
381;Arch;1542.0;243;5;18;;3695.64;3254.23;3223.89;3240.44;3221.68;3349.77;3841.84;3561.01;3601.55;3719.83
602;Arni;955.0;246;12;20;;2640.31;2531.80;2596.57;2607.12;2813.24;2613.95;2683.51;2577.09;2722.68;2851.02
