K43 FPE Finanzertrag pro Einwohner;;;;;;;;;
Kurzbeschrieb: Total Ertrag Laufende Rechnung ohne Durchlaufende Beiträge (47), Entnahmen
 aus Spezialfinanzierungen (48) interne Verrechnungen (49) dividiert durch die Einwohnerzahl.



BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
301;Aarberg;4090.0;243;1;17;;5167.58;5476.31;5898.75;6126.61;6773.83;6653.28;6886.94;7849.66;8305.58;7871.13
321;Aarwangen;4214.0;244;2;15;;4126.90;4123.14;4253.27;4533.12;6604.91;4810.93;5002.50;6432.34;7007.65;6567.02
561;Adelboden;3583.0;249;10;6;;4270.66;4412.99;4276.73;4131.11;4080.56;4286.97;4667.38;4611.62;4689.91;4742.66
401;Aefligen;1036.0;245;6;14;404;2983.61;3182.68;3485.92;3162.37;3330.42;3472.69;3075.43;3073.30;4248.14;3090.02
731;Aegerten;1750.0;242;16;14;371;3919.13;3623.84;3896.96;3865.59;4016.22;4312.25;4217.52;4407.29;4233.60;3937.88
562;Aeschi b.Sp.;2070.0;249;10;7;;3960.68;3715.66;3462.57;3192.19;3558.50;3309.63;3537.31;3691.00;3455.08;3493.54
601;Aeschlen;0.0;246;12;21;;2984.87;3464.13;2825.65;3442.79;2878.22;3584.55;2894.63;3680.21;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;4212.01;4437.24;4869.99;4694.64;7321.21;3782.60;3587.94;3978.06;3671.52;3654.52
851;Albligen;0.0;246;21;20;;3711.92;3296.45;4237.09;2782.03;2876.72;2968.30;2972.34;3261.03;3495.21;0.00
402;Alchenstorf;570.0;245;6;16;;2643.90;3166.82;2813.39;2939.83;3748.91;2755.17;2761.32;2794.18;2927.72;2814.79
630;Allmendingen;515.0;246;12;11;351;4154.04;3490.11;3931.29;3447.42;4047.64;3869.49;4619.17;3636.27;3579.18;3739.11
921;Amsoldingen;797.0;247;24;16;;2584.45;2658.61;2677.15;2557.23;3449.39;2776.55;3088.88;3197.29;4005.03;3447.47
381;Arch;1542.0;243;5;18;;4465.22;4094.49;4449.38;4082.22;4313.15;4376.65;4796.90;4431.82;4462.00;4574.31
602;Arni;955.0;246;12;20;;3807.44;4062.90;3788.32;3651.62;3669.92;3621.87;3877.02;3945.33;3882.18;3931.36
971;Attiswil;1298.0;244;26;16;;2781.99;2802.86;2572.42;2630.78;2895.08;2715.33;2946.71;2966.46;3032.50;2763.50
322;Auswil;460.0;244;2;19;;2996.77;3277.50;2940.02;3223.27;5310.59;3347.23;3605.57;3158.52;3181.92;2862.11
531;Ballmoos;0.0;246;9;21;;1909.53;2640.43;3114.75;3259.34;3951.25;2862.87;3014.92;1869.22;0.00;0.00
532;Bangerten;158.0;243;9;21;;2740.38;2008.65;2691.77;3307.46;3610.54;3328.55;3459.69;3239.80;2740.08;3281.90
323;Bannwil;676.0;244;2;15;;3529.11;3252.91;3784.62;3656.56;4928.13;4376.32;3485.05;4498.04;2627.21;3502.45
302;Bargen;1005.0;243;1;16;;3706.93;4903.14;3801.65;3852.77;3987.81;4233.86;4342.23;4332.66;4880.14;4478.68
571;Beatenberg;1126.0;250;11;7;;4778.39;4472.09;4743.91;4039.42;4311.71;4475.03;4648.40;4369.82;4701.33;4922.71
732;Bellmund;1490.0;242;16;14;371;3830.95;3334.34;3207.69;3637.08;4351.85;4373.10;4465.19;4861.18;5352.22;3974.18
861;Belp;10356.0;246;22;9;351;4561.60;4920.94;5307.38;5607.63;5763.87;6166.32;6661.36;6532.26;6197.13;6328.49
862;Belpberg;418.0;246;22;21;;2465.27;2684.75;2629.07;2781.44;2847.23;3041.14;3118.32;3316.28;2553.33;3598.52
681;Belprahon;300.0;241;15;15;;3816.89;3330.27;2929.70;3122.65;3169.24;3480.67;3930.77;3590.93;3666.74;3669.55
972;Berken;47.0;244;26;22;;3963.37;3152.80;3031.76;2780.56;7542.39;4438.05;3241.38;9827.33;4718.98;2539.86
351;Bern;126664.0;246;3;1;351;7451.76;6913.29;6712.54;6757.79;7230.76;7708.10;7339.09;7806.12;8902.57;8562.93
973;Bettenhausen;686.0;244;26;15;;3333.31;3532.56;3610.65;3727.04;5979.55;3036.38;3260.10;2761.12;2410.46;3089.55
