name,link,flag
Aarberg,/wiki/Aarberg,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Aarberg-coat_of_arms.svg/35px-Aarberg-coat_of_arms.svg.png
Aarwangen,/wiki/Aarwangen,//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Aarwangen-coat_of_arms.svg/35px-Aarwangen-coat_of_arms.svg.png
Adelboden,/wiki/Adelboden,//upload.wikimedia.org/wikipedia/commons/thumb/6/67/Adelboden-coat_of_arms.svg/35px-Adelboden-coat_of_arms.svg.png
Aefligen,/wiki/Aefligen,//upload.wikimedia.org/wikipedia/commons/thumb/2/28/Aefligen-coat_of_arms.svg/35px-Aefligen-coat_of_arms.svg.png
Aegerten,/wiki/Aegerten,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Aegerten-coat_of_arms.svg/35px-Aegerten-coat_of_arms.svg.png
Aeschi bei Spiez,/wiki/Aeschi_bei_Spiez,//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Aeschi_bei_Spiez-coat_of_arms.svg/35px-Aeschi_bei_Spiez-coat_of_arms.svg.png
Affoltern im Emmental,/wiki/Affoltern_im_Emmental,//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Affoltern_im_Emmental-coat_of_arms.svg/35px-Affoltern_im_Emmental-coat_of_arms.svg.png
Alchenstorf,/wiki/Alchenstorf,//upload.wikimedia.org/wikipedia/commons/thumb/7/75/Alchenstorf-coat_of_arms.svg/35px-Alchenstorf-coat_of_arms.svg.png
Allmendingen,/wiki/Allmendingen_bei_Bern,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Allmendingen-coat_of_arms.svg/35px-Allmendingen-coat_of_arms.svg.png
Amsoldingen,/wiki/Amsoldingen,//upload.wikimedia.org/wikipedia/commons/thumb/1/18/Amsoldingen-coat_of_arms.svg/35px-Amsoldingen-coat_of_arms.svg.png
Arch,/wiki/Arch,//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Arch-coat_of_arms.svg/35px-Arch-coat_of_arms.svg.png
Arni,/wiki/Arni_BE,//upload.wikimedia.org/wikipedia/commons/thumb/2/26/Arni_bei_Biglen-coat_of_arms.svg/35px-Arni_bei_Biglen-coat_of_arms.svg.png
Attiswil,/wiki/Attiswil,//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Attiswil-coat_of_arms.svg/35px-Attiswil-coat_of_arms.svg.png
Auswil,/wiki/Auswil,//upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Auswil-coat_of_arms.svg/35px-Auswil-coat_of_arms.svg.png
Bangerten,/wiki/Bangerten,//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bangerten-coat_of_arms.svg/35px-Bangerten-coat_of_arms.svg.png
Bannwil,/wiki/Bannwil,//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Bannwil-coat_of_arms.svg/35px-Bannwil-coat_of_arms.svg.png
Bargen,/wiki/Bargen_BE,//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Bargen-coat_of_arms.svg/35px-Bargen-coat_of_arms.svg.png
Bäriswil,/wiki/B%C3%A4riswil,//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/B%C3%A4riswil-coat_of_arms.svg/35px-B%C3%A4riswil-coat_of_arms.svg.png
Bätterkinden,/wiki/B%C3%A4tterkinden,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/B%C3%A4tterkinden-coat_of_arms.svg/35px-B%C3%A4tterkinden-coat_of_arms.svg.png
